hour,offshore,onshore,pv,river,lake,biogas,phs,battery,methanation,Storage phs,Storage battery,Storage methanation,Stored phs,Stored battery,Stored methanation,reserve phs,reserve battery,reserve lake,Electricity demand
0,17.3,61.4,0.0,1.27,0.0,0.0,6.39,1.8,0.0,-0.0,-0.0,-10.99,69.58,47.43,3880.64,0.0,0.0,10.47,77.18
1,17.6,63.35,0.0,1.3,0.0,0.0,2.39,0.0,0.0,-0.0,-0.0,-10.99,62.47,45.54,3887.13,0.0,0.0,10.43,73.64
2,17.6,64.56,0.0,1.11,0.0,0.0,0.0,0.0,0.0,-3.94,-0.0,-10.99,59.82,45.54,3893.61,0.0,10.37,0.0,68.34
3,17.47,64.99,0.0,1.12,0.0,0.0,0.0,0.0,0.0,-6.2,-0.0,-10.99,63.56,45.54,3900.1,0.0,10.34,0.0,66.02
4,17.04,64.65,0.0,1.21,0.0,0.0,0.0,0.0,0.0,-6.2,-0.0,-10.99,69.45,45.54,3906.58,6.39,0.0,3.92,63.55
5,16.65,64.95,0.0,1.25,0.0,0.0,0.0,0.0,0.0,-6.2,-4.3,-10.99,75.34,45.54,3913.07,0.0,10.29,0.0,61.35
6,16.41,65.15,0.0,1.21,0.0,0.0,0.0,0.0,0.0,-6.2,-0.0,-10.99,81.23,49.41,3919.55,0.0,0.0,10.27,59.67
7,16.17,65.32,0.61,1.18,0.0,0.0,0.0,0.0,0.0,-6.2,-5.89,-10.99,87.12,49.41,3926.04,6.39,0.0,3.89,60.21
8,16.12,64.62,9.29,1.19,0.0,0.0,0.0,0.0,0.0,-6.2,-11.31,-10.99,93.01,54.71,3932.52,6.39,3.91,0.0,62.73
9,15.92,61.7,24.06,1.31,0.0,0.0,0.0,0.0,0.0,-6.2,-19.63,-10.99,98.9,64.88,3939.01,0.0,10.34,0.0,66.18
10,15.73,60.4,37.1,1.38,0.0,0.0,0.0,0.0,0.0,-6.2,-28.33,-10.99,104.79,82.55,3945.49,6.39,0.0,3.98,69.09
11,15.81,61.94,42.48,1.38,0.0,0.0,0.0,0.0,0.0,-6.2,-33.2,-10.99,110.68,108.05,3951.98,0.0,10.4,0.0,71.22
12,15.99,62.23,40.99,1.29,0.0,0.0,0.0,0.0,0.0,-6.2,-29.41,-10.99,116.57,137.92,3958.46,6.39,4.04,0.0,73.9
13,16.18,62.02,31.76,1.36,0.0,0.0,0.0,0.0,0.0,-6.2,-19.27,-10.99,122.46,164.39,3964.95,0.0,10.44,0.0,74.86
14,16.37,61.35,18.77,1.25,0.0,0.0,0.0,0.0,0.0,-6.2,-5.6,-10.99,128.35,181.74,3971.43,0.0,10.44,0.0,74.96
15,16.58,62.64,5.38,1.27,0.0,0.0,0.0,0.0,0.0,-1.33,0.0,-10.99,134.24,186.78,3977.92,6.39,0.0,4.03,73.55
16,16.75,63.65,0.0,1.25,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-10.17,135.5,186.78,3984.4,6.39,0.0,4.01,71.49
17,16.82,63.71,0.0,1.33,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.43,135.5,186.78,3990.4,6.39,0.0,4.03,73.43
18,16.72,62.74,0.0,1.45,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-1.87,135.5,186.78,3995.38,0.0,0.0,10.49,79.03
19,16.42,61.31,0.0,1.82,0.0,0.0,0.0,0.0,4.55,-0.0,-0.0,-0.0,135.5,186.78,3996.48,6.39,0.0,4.15,84.11
20,16.09,58.94,0.0,1.71,0.0,0.0,6.39,0.0,2.03,-0.0,-0.0,-0.0,135.5,186.78,3986.36,0.0,10.55,0.0,85.16
21,15.64,56.89,0.0,1.5,0.0,0.0,6.39,2.14,0.0,-0.0,-0.0,-0.0,128.4,186.78,3981.86,0.0,0.0,10.52,82.55
22,15.04,55.25,0.0,1.47,0.0,0.0,6.39,0.93,0.0,-0.0,-0.0,-0.0,121.29,184.53,3981.86,0.0,0.0,10.49,79.08
23,14.32,52.89,0.0,1.39,0.0,0.0,6.39,0.0,2.61,-0.0,-0.0,-0.0,114.19,183.56,3981.86,0.0,10.47,0.0,77.61
24,13.75,50.78,0.0,1.31,0.0,0.0,6.39,4.49,0.0,-0.0,-0.0,-0.0,107.08,183.56,3976.05,0.0,0.0,10.46,76.73
25,13.3,49.46,0.0,1.15,0.0,0.0,6.39,2.75,0.0,-0.0,-0.0,-0.0,99.98,178.83,3976.05,0.0,0.0,10.42,73.05
26,12.84,48.23,0.0,1.1,0.0,0.0,5.99,0.0,0.0,-0.0,-0.0,-0.0,92.88,175.93,3976.05,0.0,10.37,0.0,68.16
27,12.47,47.0,0.0,1.15,0.0,0.0,6.19,0.0,0.0,-0.0,-0.0,-0.0,86.22,175.93,3976.05,0.0,0.0,10.35,66.81
28,12.01,46.77,0.0,1.16,0.0,0.0,6.23,0.0,0.0,-0.0,-0.0,-0.0,79.34,175.93,3976.05,0.16,0.0,10.18,66.17
29,11.34,45.62,0.0,1.21,0.0,0.0,4.82,3.05,0.0,-0.0,-0.0,-0.0,72.41,175.93,3976.05,1.58,8.77,0.0,66.04
30,10.41,43.02,0.0,1.21,0.0,0.0,6.39,5.86,0.0,-0.0,-0.0,-0.0,67.06,172.72,3976.05,0.0,10.35,0.0,66.9
31,9.32,39.86,1.59,1.18,0.0,0.0,6.39,12.02,0.0,-0.0,-0.0,-0.0,59.96,166.55,3976.05,0.0,10.39,0.0,70.37
32,8.08,34.84,15.75,1.23,0.0,0.0,0.0,14.79,0.0,-0.0,-0.0,-0.0,52.85,153.89,3976.05,0.0,10.44,0.0,74.68
33,6.31,28.98,33.18,1.33,0.0,0.0,0.0,0.0,8.87,-0.0,-0.0,-0.0,52.85,138.33,3976.05,6.39,4.09,0.0,78.67
34,4.53,26.87,51.71,1.43,0.0,0.0,0.0,0.0,0.0,-3.79,-0.0,-0.0,52.85,138.33,3956.33,0.0,10.5,0.0,80.75
35,3.34,27.37,62.98,1.5,0.0,0.0,0.0,0.0,0.0,-6.2,-7.0,-0.0,56.45,138.33,3956.33,6.39,4.12,0.0,81.99
36,2.63,27.59,65.02,1.58,0.0,0.0,0.0,0.0,0.0,-6.2,-7.06,-0.0,62.34,144.63,3956.33,6.39,4.14,0.0,83.56
37,2.46,27.9,56.52,1.62,0.0,0.0,0.0,0.0,0.0,-2.96,-0.0,-0.0,68.23,150.98,3956.33,0.0,0.0,10.56,85.55
38,2.53,27.48,40.43,1.46,0.0,0.0,0.0,0.0,14.5,-0.0,-0.0,-0.0,71.04,150.98,3956.33,6.39,4.17,0.0,86.4
39,2.74,29.34,13.66,1.43,0.0,0.0,6.39,0.0,31.04,-0.0,-0.0,-0.0,71.04,150.98,3924.1,0.0,10.55,0.0,84.61
40,2.75,31.01,0.06,1.59,0.0,0.0,0.0,0.0,46.72,-0.0,-0.0,-0.0,63.94,150.98,3855.11,6.39,4.13,0.0,82.13
41,2.44,29.66,0.0,1.9,0.0,0.0,6.39,0.0,43.87,-0.0,-0.0,-0.0,63.94,150.98,3751.28,0.0,0.0,10.54,84.27
42,1.99,26.48,0.0,2.24,0.0,0.0,6.39,33.88,19.28,-0.0,-0.0,-0.0,56.83,150.98,3653.79,0.0,0.0,10.61,90.26
43,1.6,23.06,0.0,2.49,0.0,0.0,0.0,33.88,33.51,-0.0,-0.0,-0.0,49.73,115.32,3610.96,6.39,0.0,4.26,94.54
