hour,offshore,onshore,pv,river,lake,biogas,phs,battery,methanation,Storage phs,Storage battery,Storage methanation,Stored phs,Stored battery,Stored methanation,reserve phs,reserve battery,reserve lake,Electricity demand
0,0.0,60.49,0.0,1.27,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.83,0.0,0.0,1418.19,0.0,7.42,0.0,28.69
1,0.0,61.36,0.0,1.3,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.83,0.0,0.0,1422.81,0.0,0.0,7.45,31.21
2,0.0,61.33,0.0,1.11,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.83,0.0,0.0,1427.43,0.0,7.41,0.0,27.7
3,0.0,60.81,0.0,1.12,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.83,0.0,0.0,1432.05,0.0,7.41,0.0,27.99
4,0.0,60.95,0.0,1.21,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.83,0.0,0.0,1436.67,0.0,7.41,0.0,28.16
5,0.0,62.55,0.0,1.25,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-7.83,0.0,0.0,1441.29,0.0,0.0,7.41,28.02
6,0.0,62.27,0.0,1.21,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.83,0.0,0.0,1445.91,0.0,0.0,7.42,29.0
7,0.0,61.29,1.66,1.18,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.83,0.0,0.0,1450.53,5.79,1.62,0.0,27.78
8,0.0,59.82,11.29,1.19,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.83,0.0,0.0,1455.15,0.0,0.0,7.44,31.14
9,0.0,58.22,22.45,1.31,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.83,0.0,0.0,1459.77,0.0,0.0,7.51,37.23
10,0.0,58.93,34.46,1.38,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.83,0.0,0.0,1464.39,0.0,7.54,0.0,40.06
11,0.0,60.99,41.01,1.38,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.83,0.0,0.0,1469.01,0.0,7.58,0.0,43.68
