hour,offshore,onshore,pv,river,lake,biogas,phs,battery,methanation,Storage phs,Storage battery,Storage methanation,Stored phs,Stored battery,Stored methanation,reserve phs,reserve battery,reserve lake,Electricity demand
0,10.65,17.75,0.0,1.27,0.0,0.0,0.0,0.0,0.0,-1.73,-0.0,-0.24,116.31,18.99,64.84,0.0,3.81,0.0,27.7
1,10.82,16.76,0.0,1.3,0.0,0.0,0.0,0.0,0.0,-2.35,-0.0,-0.24,117.96,18.99,64.98,0.0,0.0,3.79,26.28
2,11.01,16.07,0.0,1.11,0.0,0.0,0.0,0.0,0.0,-2.85,-0.0,-0.24,120.19,18.99,65.12,0.0,3.78,0.0,25.1
3,11.17,15.65,0.0,1.12,0.0,0.0,0.0,0.0,0.0,-3.89,-0.0,-0.24,122.89,18.99,65.26,0.0,3.77,0.0,23.81
4,11.22,14.6,0.0,1.21,0.0,0.0,0.0,0.0,0.0,-4.24,-0.0,-0.24,126.59,18.99,65.41,0.0,3.75,0.0,22.56
5,11.34,14.03,0.0,1.25,0.0,0.0,0.0,0.0,0.0,-3.97,-0.0,-0.24,130.62,18.99,65.55,0.0,0.0,3.75,22.4
6,11.58,13.89,0.0,1.21,0.0,0.0,0.0,0.0,0.0,-1.17,-0.0,-0.24,134.39,18.99,65.69,0.0,0.0,3.78,25.28
7,11.72,13.76,0.05,1.18,0.26,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,135.5,18.99,65.83,0.0,3.8,0.0,26.97
8,11.48,12.96,1.87,1.19,0.0,0.0,3.59,0.0,0.0,-0.0,-0.0,-0.0,135.5,18.99,65.83,0.0,0.0,3.85,31.09
9,10.82,11.42,4.61,1.31,0.0,0.0,3.3,0.0,0.0,-0.0,-0.0,-0.0,131.51,18.99,65.83,0.0,0.0,3.85,31.45
10,10.39,11.11,6.25,1.38,0.0,0.0,3.11,0.0,0.0,-0.0,-0.0,-0.0,127.84,18.99,65.83,0.0,3.86,0.0,32.24
11,10.42,11.67,7.41,1.38,0.0,0.0,2.6,0.0,0.0,-0.0,-0.0,-0.0,124.38,18.99,65.83,0.0,3.87,0.0,33.48
12,10.26,11.61,7.75,1.29,0.85,0.0,4.19,1.46,0.0,-0.0,-0.0,-0.0,121.49,18.99,65.83,0.0,3.92,0.0,37.41
13,9.81,10.57,6.39,1.36,0.0,0.0,4.19,5.36,0.0,-0.0,-0.0,-0.0,116.84,17.45,65.83,0.0,0.0,3.92,37.68
14,9.39,9.13,4.01,1.25,0.1,0.0,4.19,5.38,0.0,-0.0,-0.0,-0.0,112.18,11.8,65.83,0.0,0.0,3.87,33.45
15,9.51,9.54,1.38,1.27,3.1,0.0,4.19,1.54,0.0,-0.0,-0.0,-0.0,107.53,6.14,65.83,0.0,3.84,0.0,30.52
16,10.18,10.96,0.0,1.25,2.56,0.0,4.19,1.54,0.0,-0.0,-0.0,-0.0,102.87,4.52,65.83,0.0,3.84,0.0,30.67
17,10.68,11.81,0.0,1.33,0.0,0.0,4.19,0.0,4.4,-0.0,-0.0,-0.0,98.22,2.9,65.83,0.0,0.0,3.86,32.41
18,10.74,12.26,0.0,1.45,0.0,0.0,4.19,0.0,5.67,-0.0,-0.0,-0.0,93.57,2.9,56.05,0.0,0.0,3.88,34.3
19,10.93,12.69,0.0,1.82,0.0,0.0,4.19,0.0,10.87,-0.0,-0.0,-0.0,88.91,2.9,43.45,0.0,3.95,0.0,40.5
20,10.83,12.72,0.0,1.71,0.46,0.0,4.19,0.0,8.68,-0.0,-0.0,-0.0,84.26,2.9,19.29,0.0,3.93,0.0,38.59
21,10.23,11.89,0.0,1.5,0.24,0.0,4.19,2.76,0.0,-0.0,-0.0,-0.0,79.61,2.9,0.0,0.0,0.0,3.84,30.79
22,9.87,11.21,0.0,1.47,2.62,0.0,4.19,0.0,0.0,-0.0,-0.0,-0.0,74.95,0.0,0.0,0.0,3.83,0.0,29.36
23,9.76,10.77,0.0,1.39,0.0,2.97,4.19,0.0,0.0,-0.0,-0.0,-0.0,70.3,0.0,0.0,0.0,3.82,0.0,29.08
24,9.3,10.31,0.0,1.31,0.0,3.05,4.19,0.0,0.0,-0.0,-0.0,-0.0,65.64,0.0,0.0,0.0,3.81,0.0,28.16
25,8.92,9.74,0.0,1.15,0.0,2.34,4.19,0.0,0.0,-0.0,-0.0,-0.0,60.99,0.0,0.0,0.0,3.79,0.0,26.33
26,8.85,9.33,0.0,1.1,1.73,0.0,4.19,0.0,0.0,-0.0,-0.0,-0.0,56.34,0.0,0.0,0.0,0.0,3.78,25.19
