hour,offshore,onshore,pv,river,lake,biogas,phs,battery,methanation,Storage phs,Storage battery,Storage methanation,Stored phs,Stored battery,Stored methanation,reserve phs,reserve battery,reserve lake,Electricity demand
0,7.01,32.1,0.0,1.27,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-4.53,0.0,0.0,336.96,0.0,6.13,0.0,28.69
1,7.48,32.53,0.0,1.3,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-4.53,0.0,0.0,339.63,0.0,0.0,6.16,31.21
2,8.34,33.58,0.0,1.11,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-4.53,0.0,0.0,342.31,0.0,6.12,0.0,27.7
3,8.8,35.44,0.0,1.12,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-4.53,0.0,0.0,344.98,0.0,6.12,0.0,27.99
4,9.23,37.64,0.0,1.21,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-4.53,0.0,0.0,347.66,5.93,0.0,0.19,28.16
5,9.15,39.57,0.0,1.25,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-4.53,0.0,0.0,350.33,0.0,0.0,6.13,28.02
6,9.52,40.95,0.0,1.21,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-4.53,0.0,0.0,353.01,0.0,0.0,6.14,29.0
7,10.14,42.09,0.0,1.18,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-4.53,0.0,0.0,355.68,5.93,0.19,0.0,27.78
8,10.14,43.73,0.0,1.19,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-4.53,0.0,0.0,358.35,0.0,0.0,6.16,31.14
9,10.04,43.65,11.02,1.31,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-4.53,0.0,0.0,361.03,0.0,0.0,6.23,37.23
10,10.02,44.1,17.13,1.38,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-4.53,0.0,0.0,363.7,0.0,6.26,0.0,40.06
11,9.88,43.81,21.3,1.38,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-4.53,0.0,0.0,366.38,0.0,6.3,0.0,43.68
12,9.4,42.26,20.33,1.29,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-4.53,0.0,0.0,369.05,5.93,0.4,0.0,46.73
