hour,offshore,onshore,pv,river,lake,biogas,phs,battery,methanation,Storage phs,Storage battery,Storage methanation,Stored phs,Stored battery,Stored methanation,reserve phs,reserve battery,reserve lake,Electricity demand
0,7.01,42.51,0.0,1.27,0.0,0.0,5.98,9.6,0.0,-0.0,-0.0,-5.49,68.73,35.24,444.45,0.0,0.0,7.02,60.89
1,7.48,43.08,0.0,1.3,0.0,0.0,5.98,9.6,0.0,-0.0,-0.0,-4.35,62.08,25.13,447.69,0.0,0.0,7.04,63.09
2,8.34,44.47,0.0,1.11,0.0,0.0,5.98,9.6,0.0,-0.0,-0.0,-6.03,55.43,15.02,450.25,0.0,0.0,7.05,63.47
3,8.8,46.94,0.0,1.12,0.0,0.0,5.98,4.66,0.0,-0.0,-0.0,-6.15,48.78,4.91,453.81,0.0,0.0,7.02,61.35
4,9.23,49.85,0.0,1.21,0.0,0.0,5.98,0.0,0.0,-2.26,-0.0,-6.15,42.14,0.0,457.44,0.0,6.98,0.0,57.86
5,9.15,52.4,0.0,1.25,0.0,0.0,0.0,0.0,0.0,-1.19,0.0,-6.15,37.63,0.0,461.07,0.0,0.0,6.96,55.45
6,9.52,54.23,0.0,1.21,0.0,0.0,0.0,0.0,0.0,-4.44,-0.0,-6.15,38.76,0.0,464.7,0.0,0.0,6.95,54.37
7,10.14,55.74,0.0,1.18,0.0,0.0,0.0,0.0,0.0,-6.2,-1.15,-6.15,42.98,0.0,468.33,5.98,0.95,0.0,53.56
8,10.14,57.91,0.0,1.19,0.0,0.0,0.0,0.0,0.0,-6.2,0.0,-6.15,48.87,1.04,471.96,0.0,0.0,6.94,53.49
9,10.04,57.81,10.62,1.31,0.0,0.0,0.0,0.0,0.0,-6.2,-7.67,-6.15,54.76,1.04,475.59,0.0,0.0,6.93,53.17
10,10.02,58.41,16.49,1.38,0.0,0.0,0.0,0.0,0.0,-0.0,-9.6,-6.15,60.65,7.94,479.22,0.0,6.95,0.0,54.92
11,9.88,58.02,20.51,1.38,0.0,0.0,0.0,0.0,0.0,-6.2,-9.6,-6.15,60.65,16.58,482.85,0.0,6.97,0.0,56.61
12,9.4,55.97,19.58,1.29,0.0,0.0,0.0,0.0,0.0,-0.0,-9.6,-6.15,66.54,25.23,486.49,5.98,1.0,0.0,57.76
13,9.22,54.08,15.28,1.36,0.0,0.0,0.0,0.0,0.0,-6.2,-6.8,-6.15,66.54,33.87,490.12,0.0,0.0,7.02,60.79
14,9.13,53.01,8.73,1.25,0.0,0.0,0.0,0.0,0.0,-6.2,-1.43,-6.15,72.43,39.99,493.75,5.98,0.0,1.01,58.33
15,9.23,54.84,0.0,1.27,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-6.15,78.32,41.28,497.38,0.0,6.97,0.0,56.37
16,9.2,57.39,0.0,1.25,0.0,0.0,0.0,0.0,0.0,-6.04,-0.0,-6.15,78.32,41.28,501.01,0.0,6.96,0.0,55.65
17,8.9,57.81,0.0,1.33,0.0,0.0,0.0,0.0,0.0,-5.17,-0.0,-6.15,84.06,41.28,504.64,0.0,0.0,6.97,56.72
18,7.96,56.25,0.0,1.45,0.0,0.0,2.3,-0.0,0.0,-0.0,-0.0,-6.15,88.97,41.28,508.27,0.0,0.0,7.03,61.81
19,7.49,53.51,0.0,1.82,0.0,0.0,5.98,-0.0,0.0,-0.0,0.0,-4.32,86.41,41.28,511.9,0.0,7.06,0.0,64.48
20,7.69,49.22,0.0,1.71,0.0,0.0,5.98,0.09,0.0,-0.0,-0.0,-0.0,79.77,41.28,514.45,0.0,7.06,0.0,64.69
21,7.17,44.7,0.0,1.5,0.0,0.0,5.98,4.28,0.0,-0.0,-0.0,-0.0,73.12,41.18,514.45,0.0,0.0,7.05,63.62
22,6.48,43.79,0.0,1.47,0.0,0.0,5.98,3.34,0.0,-0.0,-0.0,-0.0,66.47,36.67,514.45,0.0,6.27,0.75,61.05
23,6.05,43.76,0.0,1.39,0.0,0.0,5.98,9.6,0.0,-0.0,-0.0,-3.73,59.82,33.16,514.45,0.0,0.0,7.04,63.06
24,5.78,43.89,0.0,1.31,0.0,0.0,5.98,9.6,0.0,-0.0,-0.0,-0.75,53.18,23.05,516.65,0.0,0.0,7.07,65.81
25,5.92,43.35,0.0,1.15,0.0,0.0,5.98,0.96,0.0,-0.0,-0.0,-0.0,46.53,12.94,517.1,0.0,6.98,0.0,57.36
26,6.73,43.53,0.0,1.1,0.0,0.0,5.98,6.04,0.0,-0.0,-0.0,-5.45,39.88,11.93,517.1,0.0,0.0,6.98,57.94
