hour,offshore,onshore,pv,river,lake,biogas,phs,battery,methanation,Storage phs,Storage battery,Storage methanation,Stored phs,Stored battery,Stored methanation,reserve phs,reserve battery,reserve lake,Electricity demand
0,5.65,12.41,0.0,1.27,1.22,0.0,4.93,2.22,0.0,-0.0,-0.0,-0.0,127.64,4.29,0.0,-0.0,0.0,3.52,27.7
1,6.03,12.58,0.0,1.3,0.0,0.0,4.93,1.44,0.0,-0.0,-0.0,0.0,122.16,1.96,0.0,0.0,0.0,3.5,26.28
2,6.72,12.98,0.0,1.11,0.0,0.0,4.29,0.0,0.0,-0.0,-0.0,0.0,116.68,0.44,0.0,0.0,2.22,1.27,25.1
3,7.1,13.7,0.0,1.12,0.0,0.0,4.93,0.0,0.0,-0.0,-0.0,0.0,111.92,0.44,0.0,0.0,2.22,1.26,23.81
4,7.44,14.56,0.0,1.21,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,106.43,0.44,0.0,3.46,0.0,0.0,22.56
5,7.37,15.3,0.0,1.25,0.0,0.0,4.93,0.0,0.0,-0.0,-2.22,0.0,106.43,0.44,0.0,0.0,0.0,3.46,22.4
6,7.67,15.83,0.0,1.21,0.0,0.0,0.56,0.0,0.0,-0.0,-0.0,0.0,100.95,2.43,0.0,0.0,0.0,3.49,25.28
7,8.18,16.27,0.0,1.18,0.0,0.0,3.64,0.0,0.0,-0.0,-0.0,0.0,100.33,2.43,0.0,1.3,2.22,0.0,26.97
8,8.17,16.91,0.0,1.19,0.0,0.0,4.93,0.0,0.0,-0.0,-0.0,0.0,96.29,2.43,0.0,0.0,0.0,3.56,31.09
9,8.09,16.88,6.75,1.31,0.0,0.0,0.0,0.0,0.0,-1.58,-0.0,0.0,90.8,2.43,0.0,0.0,0.0,3.56,31.45
10,8.08,17.05,10.49,1.38,0.0,0.0,0.0,0.0,0.0,-2.55,-2.22,0.0,92.3,2.43,0.0,0.0,0.0,3.57,32.24
11,7.96,16.94,13.05,1.38,0.0,0.0,0.0,0.0,0.0,-4.25,-1.6,0.0,94.72,4.43,0.0,1.37,2.22,0.0,33.48
12,7.58,16.34,12.45,1.29,0.0,0.0,0.0,0.0,0.0,-0.0,-0.25,0.0,98.76,5.87,0.0,1.41,2.22,0.0,37.41
13,7.43,15.79,9.72,1.36,0.0,0.0,3.38,0.0,0.0,-0.0,-0.0,0.0,98.76,6.09,0.0,0.0,0.0,3.63,37.68
14,7.36,15.48,5.55,1.25,0.0,0.0,3.81,0.0,0.0,-0.0,-0.0,0.0,95.0,6.09,0.0,1.13,0.0,2.46,33.45
15,7.44,16.01,0.0,1.27,0.87,0.0,4.93,0.0,0.0,-0.0,-0.0,-0.0,90.77,6.09,0.0,0.0,2.22,1.33,30.52
16,7.42,16.76,0.0,1.25,0.0,0.0,4.93,0.31,0.0,-0.0,0.0,-0.0,85.28,6.09,0.0,0.0,1.91,1.64,30.67
17,7.18,16.88,0.0,1.33,1.04,0.0,4.93,1.05,0.0,-0.0,-0.0,-0.0,79.8,5.77,0.0,0.0,0.0,3.57,32.41
