hour,offshore,onshore,pv,river,lake,biogas,phs,battery,methanation,Storage phs,Storage battery,Storage methanation,Stored phs,Stored battery,Stored methanation,reserve phs,reserve battery,reserve lake,Electricity demand
0,7.01,51.77,0.0,1.27,0.0,0.0,5.83,22.29,0.0,-0.0,-0.0,-10.99,89.99,98.76,714.39,0.0,0.0,9.49,77.18
1,7.48,52.46,0.0,1.3,0.0,0.0,5.83,17.57,0.0,-0.0,-0.0,-10.99,83.52,75.3,720.87,0.0,7.39,2.07,73.64
2,8.34,54.15,0.0,1.11,0.0,0.0,5.83,9.9,0.0,-0.0,-0.0,-10.99,77.04,56.8,727.36,0.0,9.4,0.0,68.34
3,8.8,57.16,0.0,1.12,0.0,0.0,5.83,4.1,0.0,-0.0,-0.0,-10.99,70.56,46.38,733.84,0.0,9.37,0.0,66.02
4,9.23,60.7,0.0,1.21,0.0,0.0,3.4,0.0,0.0,-0.0,-0.0,-10.99,64.09,42.07,740.32,2.43,0.0,6.91,63.55
5,9.15,63.81,0.0,1.25,0.0,0.0,0.0,0.0,0.0,-1.86,-0.0,-10.99,60.31,42.07,746.81,0.0,9.32,0.0,61.35
6,9.52,66.04,0.0,1.21,0.0,0.0,0.0,0.0,0.0,-6.11,-0.0,-10.99,62.09,42.07,753.29,0.0,0.0,9.3,59.67
7,10.14,67.87,0.0,1.18,0.0,0.0,0.0,0.0,0.0,-0.0,-8.0,-10.99,67.89,42.07,759.77,0.0,9.31,0.0,60.21
8,10.14,70.52,0.0,1.19,0.0,0.0,0.0,0.0,0.0,-6.2,-1.93,-10.99,67.89,49.27,766.25,5.83,3.51,0.0,62.73
9,10.04,70.4,16.41,1.31,0.0,0.0,0.0,0.0,0.0,-6.2,-14.79,-10.99,73.78,51.0,772.74,0.0,9.37,0.0,66.18
10,10.02,71.12,25.5,1.38,0.0,0.0,0.0,0.0,0.0,-6.2,-21.75,-10.99,79.67,64.32,779.22,5.83,0.0,3.58,69.09
11,9.88,70.65,31.72,1.38,0.0,0.0,0.0,0.0,0.0,-6.2,-24.96,-10.99,85.56,83.89,785.7,0.0,9.43,0.0,71.22
12,9.4,68.15,30.27,1.29,0.0,0.0,0.0,0.0,0.0,-6.2,-18.03,-10.99,91.45,106.36,792.19,5.83,3.63,0.0,73.9
13,9.22,65.86,23.62,1.36,0.0,0.0,0.0,0.0,0.0,-6.2,-8.01,-10.99,97.34,122.58,798.67,0.0,9.47,0.0,74.86
14,9.13,64.55,13.5,1.25,0.0,0.0,0.0,0.0,0.0,-2.48,-0.0,-10.99,103.23,129.79,805.15,0.0,9.47,0.0,74.96
15,9.23,66.78,0.0,1.27,0.0,0.0,5.83,1.44,0.0,-0.0,-0.0,-10.99,105.59,129.79,811.64,0.0,9.46,0.0,73.55
16,9.2,69.89,0.0,1.25,0.0,0.0,2.13,0.0,0.0,-0.0,-0.0,-10.99,99.12,128.27,818.12,3.69,0.0,5.74,71.49
17,8.9,70.39,0.0,1.33,0.0,0.0,5.48,0.0,0.0,-0.0,-1.68,-10.99,96.74,128.27,824.6,0.35,0.0,9.1,73.43
18,7.96,68.5,0.0,1.45,0.0,0.0,5.83,6.28,0.0,-0.0,-0.0,-10.99,90.66,129.79,831.08,0.0,0.0,9.52,79.03
19,7.49,65.16,0.0,1.82,0.0,0.0,5.83,14.8,0.0,-0.0,-0.0,-10.99,84.18,123.17,837.57,0.0,0.0,9.57,84.11
20,7.69,59.93,0.0,1.71,0.0,0.0,5.83,10.01,0.0,-0.0,-0.0,-0.0,77.71,107.59,844.05,0.0,9.58,0.0,85.16
21,7.17,54.43,0.0,1.5,0.0,0.0,5.83,13.63,0.0,-0.0,-0.0,-0.0,71.23,97.06,844.05,0.0,9.55,0.0,82.55
22,6.48,53.32,0.0,1.47,0.0,0.0,5.83,11.99,0.0,-0.0,-0.0,-0.0,64.76,82.71,844.05,0.0,0.0,9.52,79.08
23,6.05,53.29,0.0,1.39,0.0,0.0,5.83,15.46,0.0,-0.0,-0.0,-4.41,58.28,70.09,844.05,0.0,9.5,0.0,77.61
24,5.78,53.44,0.0,1.31,0.0,0.0,5.83,10.37,0.0,-0.0,-0.0,-0.0,51.81,53.82,846.65,0.0,0.0,9.49,76.73
25,5.92,52.79,0.0,1.15,0.0,0.0,5.83,7.37,0.0,-0.0,-0.0,-0.0,45.33,42.9,846.65,0.0,9.45,0.0,73.05
26,6.73,53.01,0.0,1.1,0.0,0.0,5.83,1.49,0.0,-0.0,-0.0,-0.0,38.85,35.14,846.65,0.0,9.4,0.0,68.16
27,7.61,51.03,0.0,1.15,0.0,0.0,5.83,1.19,0.0,-0.0,-0.0,-0.0,32.38,33.57,846.65,0.0,0.0,9.38,66.81
28,8.19,50.2,0.0,1.16,0.0,0.0,5.83,10.18,0.0,-0.0,-0.0,-9.39,25.9,32.32,846.65,0.0,0.0,9.37,66.17
29,7.98,53.14,0.0,1.21,0.0,0.0,5.83,8.87,0.0,-0.0,-0.0,-10.99,19.43,21.61,852.19,0.0,0.0,9.37,66.04
30,7.46,57.76,0.0,1.21,0.0,0.0,5.83,5.63,0.0,-0.0,-0.0,-10.99,12.95,12.27,858.67,0.0,0.0,9.38,66.9
31,7.11,61.21,0.0,1.18,0.0,0.0,5.83,6.03,0.0,-0.0,-0.0,-10.99,6.48,6.35,865.16,0.0,9.42,0.0,70.37
