hour,offshore,onshore,pv,river,lake,biogas,phs,battery,methanation,Storage phs,Storage battery,Storage methanation,Stored phs,Stored battery,Stored methanation,reserve phs,reserve battery,reserve lake,Electricity demand
0,6.71,31.03,0.0,1.27,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-6.1,96.93,31.4,5841.67,0.0,6.62,0.0,28.69
1,6.99,29.82,0.0,1.3,0.0,0.0,0.0,0.0,0.0,-0.8,-0.0,-6.1,96.93,31.4,5845.27,0.0,6.65,0.0,31.21
2,7.33,28.2,0.0,1.11,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-6.1,97.69,31.4,5848.88,0.0,6.61,0.0,27.7
3,7.88,27.9,0.0,1.12,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-6.1,97.69,31.4,5852.48,0.0,6.62,0.0,27.99
4,8.64,27.43,0.0,1.21,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-6.1,97.69,31.4,5856.08,0.0,6.62,0.0,28.16
5,9.34,25.98,0.0,1.25,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-6.1,97.69,31.4,5859.68,0.0,0.0,6.62,28.02
6,10.1,24.84,0.0,1.21,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-6.1,97.69,31.4,5863.28,0.0,0.0,6.63,29.0
7,10.61,23.61,3.47,1.18,0.0,0.0,0.0,0.0,0.0,-4.98,-0.0,-6.1,97.69,31.4,5866.89,0.0,6.62,0.0,27.78
8,10.98,23.08,14.4,1.19,0.0,0.0,0.0,0.0,0.0,-6.2,-0.0,-6.1,102.42,31.4,5870.49,0.0,6.65,0.0,31.14
9,10.97,23.24,25.25,1.31,0.0,0.0,0.0,0.0,0.0,-6.2,-0.0,-6.1,108.31,31.4,5874.09,0.0,0.0,6.72,37.23
10,10.87,22.27,32.15,1.38,0.0,0.0,0.0,0.0,0.0,-6.2,-11.6,-6.1,114.2,31.4,5877.69,0.0,6.75,0.0,40.06
11,10.96,21.51,33.56,1.38,0.0,0.0,0.0,0.0,0.0,-6.2,-11.42,-6.1,120.09,41.84,5881.29,0.0,6.79,0.0,43.68
12,10.81,20.72,29.72,1.29,0.0,0.0,0.0,0.0,0.0,-6.2,-0.0,-6.1,125.98,52.12,5884.9,0.0,6.82,0.0,46.73
13,10.58,18.64,23.51,1.36,0.0,0.0,2.75,0.0,0.0,-6.2,-0.0,-6.1,131.87,52.12,5888.5,0.0,6.8,0.0,44.52
14,10.56,17.25,14.93,1.25,0.0,0.0,0.0,0.0,0.0,-0.83,-0.0,-6.1,134.71,52.12,5892.1,6.05,0.0,0.67,37.07
15,11.4,16.69,5.25,1.27,0.0,0.0,4.95,0.0,0.0,-0.0,-0.0,-6.1,135.5,52.12,5895.7,0.0,6.68,0.0,33.46
16,12.31,18.59,0.07,1.25,0.0,0.0,5.26,0.0,0.0,-0.0,-0.0,-6.1,129.99,52.12,5899.3,0.0,6.65,0.0,31.38
17,12.77,22.84,0.0,1.33,0.0,0.0,1.41,0.0,0.0,-0.0,-0.0,-6.1,124.15,52.12,5902.91,0.0,6.66,0.0,32.25
18,12.85,25.19,0.0,1.45,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-5.45,122.59,52.12,5906.51,0.0,0.0,6.68,34.03
19,12.73,24.64,0.0,1.82,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-2.17,122.59,52.12,5909.73,0.0,6.72,0.0,37.01
20,12.58,23.63,0.0,1.71,0.0,0.0,1.49,1.56,0.0,-0.0,-0.0,-0.61,122.59,52.12,5911.01,0.0,6.75,0.0,40.36
21,12.07,23.31,0.0,1.5,0.0,0.0,0.0,1.07,0.0,-0.0,-0.0,-0.0,120.93,50.48,5911.37,0.0,0.0,6.73,37.94
22,11.31,22.26,0.0,1.47,0.0,0.0,6.05,0.0,0.0,-0.0,-0.0,-5.45,120.93,49.36,5911.37,0.0,6.7,0.0,35.63
23,10.63,21.73,0.0,1.39,0.0,0.0,0.0,3.66,0.0,-0.0,-0.0,-6.1,114.22,49.36,5914.58,0.0,6.65,0.0,31.3
24,6.71,31.03,0.0,1.31,0.0,0.0,0.0,0.0,0.0,-0.8,-0.0,-6.1,114.22,45.5,5918.19,0.0,6.66,0.0,32.15
25,6.99,29.82,0.0,1.15,0.0,0.0,0.0,2.62,0.0,-0.0,-0.0,-6.1,114.97,45.5,5921.79,0.0,6.69,0.0,34.47
26,7.33,28.2,0.0,1.1,0.0,0.0,0.0,1.38,0.0,-0.0,-0.0,-6.1,114.97,42.75,5925.39,0.0,6.66,0.0,31.91
27,7.88,27.9,0.0,1.15,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-5.38,114.97,41.3,5928.99,0.0,6.66,0.0,31.55
28,8.64,27.43,0.0,1.16,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-5.94,114.97,41.3,5932.17,0.0,6.65,0.0,31.29
29,9.34,25.98,0.0,1.21,0.0,0.0,0.0,0.0,0.0,-0.34,-0.0,-6.1,114.97,41.3,5935.67,0.0,6.64,0.0,30.09
30,10.1,24.84,0.0,1.21,0.0,0.0,0.0,1.36,0.0,-0.0,-0.0,-6.1,115.3,41.3,5939.27,0.0,6.65,0.0,31.4
31,10.61,23.61,3.47,1.18,0.0,0.0,2.41,0.0,0.0,-0.0,-0.0,-6.1,115.3,39.87,5942.87,0.0,0.0,6.7,35.17
32,10.98,23.08,14.4,1.23,0.0,0.0,0.0,0.0,0.0,-6.2,-1.56,-6.1,112.62,39.87,5946.48,0.0,0.0,6.7,35.83
33,10.97,23.24,25.25,1.33,0.0,0.0,0.0,0.0,0.0,-6.2,-9.05,-6.1,118.51,41.27,5950.08,0.0,6.74,0.0,39.43
