hour,offshore,onshore,pv,river,lake,biogas,phs,battery,methanation,Storage phs,Storage battery,Storage methanation,Stored phs,Stored battery,Stored methanation,reserve phs,reserve battery,reserve lake,Electricity demand
0,6.71,42.59,0.0,1.27,0.0,4.97,5.35,0.0,0.0,-0.0,0.0,-0.0,135.5,63.81,19357.74,1.14,6.38,0.0,60.89
1,6.99,40.94,0.0,1.3,0.0,0.0,0.0,12.8,1.07,-0.0,-0.0,-0.0,129.56,63.81,19357.74,6.49,1.06,0.0,63.09
2,7.33,38.72,0.0,1.11,0.0,4.11,6.49,5.72,0.0,-0.0,-0.0,-0.0,129.56,50.33,19355.37,0.0,7.56,0.0,63.47
3,7.88,38.29,0.0,1.12,0.0,12.37,0.0,1.68,0.0,-0.0,-0.0,-0.0,122.35,44.32,19355.37,6.49,0.0,1.04,61.35
4,8.64,37.65,0.0,1.21,0.0,0.0,6.49,3.87,0.0,-0.0,-0.0,-0.0,122.35,42.55,19355.37,0.0,7.49,0.0,57.86
5,9.34,35.66,0.0,1.25,0.0,0.0,6.49,2.71,0.0,-0.0,-0.0,-0.0,115.14,38.47,19355.37,0.0,7.47,0.0,55.45
6,10.1,34.1,0.0,1.21,0.0,8.96,0.0,0.0,0.0,-0.0,-0.0,-0.0,107.93,35.62,19355.37,6.49,0.97,0.0,54.37
7,10.61,32.41,3.34,1.18,0.0,0.0,0.0,6.02,0.0,-0.0,-0.0,-0.0,107.93,35.62,19355.37,6.49,0.96,0.0,53.56
8,10.98,31.68,13.86,1.19,0.0,0.0,0.0,0.0,0.0,-4.22,-0.0,-0.0,107.93,29.28,19355.37,0.0,7.45,0.0,53.49
9,10.97,31.9,24.31,1.31,0.0,0.0,0.0,0.0,0.0,-6.2,-9.12,-0.0,111.94,29.28,19355.37,0.0,0.0,7.44,53.17
10,10.87,30.58,30.96,1.38,0.0,0.0,0.0,0.0,0.0,-6.2,-12.67,-0.0,117.83,37.49,19355.37,6.49,0.97,0.0,54.92
11,10.96,29.52,32.31,1.38,0.0,0.0,0.0,0.0,0.0,-6.2,-11.37,-0.0,123.72,48.9,19355.37,0.0,7.48,0.0,56.61
12,10.81,28.44,28.62,1.29,0.0,0.0,0.0,0.0,0.0,-6.2,-5.2,-0.0,129.61,59.13,19355.37,0.0,7.49,0.0,57.76
13,10.58,25.59,22.63,1.36,0.63,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,135.5,63.81,19355.37,6.49,1.04,0.0,60.79
14,10.56,23.68,14.38,1.25,0.0,8.45,0.0,0.0,0.0,0.0,0.0,-0.0,135.5,63.81,19355.37,0.0,0.0,7.5,58.33
15,11.4,22.91,5.06,1.27,0.0,12.37,3.36,0.0,0.0,-0.0,-0.0,-0.0,135.5,63.81,19355.37,3.13,4.35,0.0,56.37
16,12.31,25.52,0.07,1.25,0.0,12.37,4.12,0.0,0.0,-0.0,-0.0,-0.0,131.77,63.81,19355.37,2.36,5.11,0.0,55.65
17,12.77,31.35,0.0,1.33,0.0,11.27,0.0,0.0,0.0,-0.0,-0.0,-0.0,127.18,63.81,19355.37,0.0,7.48,0.0,56.72
18,12.85,34.58,0.0,1.45,0.0,12.37,0.0,-0.0,0.56,-0.0,-0.0,-0.0,127.18,63.81,19355.37,0.0,0.0,7.54,61.81
19,12.73,33.82,0.0,1.82,0.0,12.37,3.74,0.0,0.0,-0.0,0.0,-0.0,127.18,63.81,19354.14,2.75,4.81,0.0,64.48
20,12.58,32.44,0.0,1.71,0.0,12.37,0.0,0.0,5.58,-0.0,-0.0,-0.0,123.03,63.81,19354.14,0.0,7.57,0.0,64.69
21,12.07,32.0,0.0,1.5,0.0,12.37,0.0,0.0,5.69,-0.0,0.0,-0.0,123.03,63.81,19341.73,0.0,7.56,0.0,63.62
