hour,offshore,onshore,pv,river,lake,biogas,phs,battery,methanation,Storage phs,Storage battery,Storage methanation,Stored phs,Stored battery,Stored methanation,reserve phs,reserve battery,reserve lake,Electricity demand
0,2.81,17.94,0.0,1.27,4.96,0.0,0.71,0.0,-0.0,-0.0,-0.0,-0.0,135.5,13.21,0.0,3.73,0.0,0.0,27.7
1,2.93,17.25,0.0,1.3,0.37,0.0,4.44,0.0,-0.0,-0.0,-0.0,-0.0,134.71,13.21,0.0,0.0,3.72,0.0,26.28
2,3.07,16.31,0.0,1.11,0.0,0.0,4.44,0.17,-0.0,-0.0,-0.0,-0.0,129.78,13.21,0.0,0.0,3.71,0.0,25.1
3,3.3,16.13,0.0,1.12,0.0,2.5,0.75,0.0,-0.0,-0.0,-0.0,-0.0,124.84,13.03,0.0,3.69,-0.0,0.0,23.81
4,3.62,15.86,0.0,1.21,0.0,1.86,0.0,0.0,0.0,-0.0,-0.0,-0.0,124.01,13.03,0.0,3.68,0.0,0.0,22.56
5,3.92,15.02,0.0,1.25,0.0,2.22,0.0,0.0,-0.0,-0.0,-0.0,-0.0,124.01,13.03,0.0,0.0,0.0,3.68,22.4
6,4.23,14.36,0.0,1.21,0.0,4.73,0.73,0.0,-0.0,-0.0,-0.0,-0.0,124.01,13.03,0.0,3.71,0.0,0.0,25.28
7,4.45,13.65,1.89,1.18,0.0,1.36,4.44,0.0,-0.0,-0.0,-0.0,-0.0,123.19,13.03,0.0,0.0,3.73,0.0,26.97
8,4.6,13.35,7.84,1.19,0.0,3.44,0.67,0.0,0.0,-0.0,-0.0,-0.0,118.26,13.03,0.0,3.77,0.0,0.0,31.09
9,4.6,13.44,13.74,1.31,0.0,0.0,0.0,0.0,-0.0,-1.63,-0.0,-0.0,117.51,13.03,0.0,0.0,3.78,0.0,31.45
10,4.56,12.88,17.5,1.38,0.0,0.0,0.0,0.0,-0.0,-4.08,0.0,-0.0,119.06,13.03,0.0,3.78,0.0,0.0,32.24
11,4.59,12.44,18.26,1.38,0.0,0.0,0.0,0.0,-0.0,-3.2,-0.0,-0.0,122.94,13.03,0.0,3.8,0.0,0.0,33.48
12,4.53,11.98,16.18,1.29,3.43,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,125.97,13.03,0.0,0.0,3.84,0.0,37.41
13,4.43,10.78,12.79,1.36,0.0,7.72,0.6,-0.0,-0.0,-0.0,-0.0,-0.0,125.97,13.03,0.0,3.84,0.0,0.0,37.68
14,4.43,9.98,8.13,1.25,0.0,9.02,0.64,0.0,-0.0,-0.0,-0.0,-0.0,125.31,13.03,0.0,3.8,0.0,0.0,33.45
15,4.78,9.65,2.86,1.27,0.0,11.29,0.68,0.0,-0.0,-0.0,-0.0,-0.0,124.59,13.03,0.0,3.77,0.0,0.0,30.52
16,5.16,10.75,0.04,1.25,0.0,9.03,4.44,0.0,-0.0,-0.0,-0.0,-0.0,123.84,13.03,0.0,0.0,3.77,0.0,30.67
17,5.36,13.21,0.0,1.33,0.0,12.52,0.0,0.0,-0.0,-0.0,-0.0,-0.0,118.9,13.03,0.0,3.79,0.0,0.0,32.41
18,5.39,14.57,0.0,1.45,0.0,12.27,0.64,-0.0,-0.0,-0.0,-0.0,-0.0,118.9,13.03,0.0,3.81,0.0,0.0,34.3
19,5.33,14.25,0.0,1.82,0.0,11.27,4.44,3.38,0.0,-0.0,-0.0,-0.0,118.2,13.03,0.0,0.0,0.92,2.96,40.5
20,5.27,13.67,0.0,1.71,0.0,9.19,4.44,4.3,0.0,-0.0,-0.0,-0.0,113.26,9.47,0.0,0.0,0.0,3.85,38.59
21,5.06,13.48,0.0,1.5,0.0,10.76,0.0,0.0,0.0,-0.0,-0.0,-0.0,108.33,4.94,0.0,3.77,0.0,0.0,30.79
22,4.74,12.87,0.0,1.47,0.0,9.59,0.69,0.0,-0.0,-0.0,-0.0,-0.0,108.33,4.94,0.0,3.75,0.0,0.0,29.36
23,4.46,12.56,0.0,1.39,0.0,9.97,0.69,0.0,-0.0,-0.0,-0.0,-0.0,107.56,4.94,0.0,3.75,0.0,0.0,29.08
24,2.81,17.94,0.0,1.31,0.0,1.64,4.44,0.0,0.0,-0.0,-0.0,-0.0,106.79,4.94,0.0,0.0,3.74,0.0,28.16
25,2.93,17.25,0.0,1.15,0.0,0.57,4.44,0.0,-0.0,0.0,-0.0,-0.0,101.85,4.94,0.0,0.0,3.72,0.0,26.33
26,3.07,16.31,0.0,1.1,0.0,0.27,4.44,0.0,0.0,-0.0,-0.0,-0.0,96.92,4.94,0.0,0.0,3.71,0.0,25.19
27,3.3,16.13,0.0,1.15,0.0,3.28,0.0,0.0,0.0,-0.0,-0.0,-0.0,91.98,4.94,0.0,3.69,0.0,0.0,23.86
28,3.62,15.86,0.0,1.16,0.0,0.86,0.77,0.0,0.0,-0.0,-0.0,-0.0,91.98,4.94,0.0,3.67,0.0,0.0,22.27
29,3.92,15.02,0.0,1.21,2.61,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,91.13,4.94,0.0,0.0,3.68,0.0,22.76
30,4.23,14.36,0.0,1.21,0.0,4.76,0.73,0.0,0.0,-0.0,-0.0,-0.0,91.13,4.94,0.0,3.71,0.0,0.0,25.3
31,4.45,13.65,1.89,1.18,0.0,5.4,0.71,0.0,-0.0,-0.0,-0.0,-0.0,90.31,4.94,0.0,3.73,0.0,0.0,27.28
32,4.6,13.35,7.84,1.23,0.0,3.81,0.0,0.0,0.0,-0.0,-0.0,-0.0,89.52,4.94,0.0,3.77,0.0,0.0,30.83
33,4.6,13.44,13.74,1.33,0.0,0.19,0.0,0.0,-0.0,-0.0,-0.0,-0.0,89.52,4.94,0.0,0.0,3.8,0.0,33.3
34,4.56,12.88,17.5,1.43,0.0,0.0,0.0,0.0,0.0,-1.04,-0.0,-0.0,89.52,4.94,0.0,0.0,3.82,0.0,35.33
35,4.59,12.44,18.26,1.5,0.0,0.22,0.0,0.0,-0.0,-0.0,-0.0,-0.0,90.51,4.94,0.0,0.0,0.0,3.84,37.02
36,4.53,11.98,16.18,1.58,0.0,5.99,0.56,0.0,-0.0,-0.0,0.0,-0.0,90.51,4.94,0.0,3.88,0.0,0.0,40.83
37,4.43,10.78,12.79,1.62,0.0,7.17,4.44,0.0,-0.0,-0.0,-0.0,-0.0,89.88,4.94,0.0,0.0,3.88,0.0,41.24
