hour,offshore,onshore,pv,river,lake,biogas,phs,battery,methanation,Storage phs,Storage battery,Storage methanation,Stored phs,Stored battery,Stored methanation,reserve phs,reserve battery,reserve lake,Electricity demand
0,6.71,54.07,0.0,1.27,0.0,0.0,0.0,15.12,0.0,0.0,-0.0,-0.0,135.5,139.28,21086.07,6.92,2.78,0.0,77.18
1,6.99,51.97,0.0,1.3,0.0,0.0,-0.0,13.39,0.0,-0.0,-0.0,-0.0,135.5,123.36,21086.07,6.92,2.74,0.0,73.64
2,7.33,49.15,0.0,1.11,0.0,0.0,6.92,3.83,0.0,-0.0,-0.0,-0.0,135.5,109.27,21086.07,0.0,9.6,0.0,68.34
3,7.88,48.61,0.0,1.12,0.0,0.0,6.25,2.16,0.0,-0.0,-0.0,-0.0,127.81,105.23,21086.07,0.0,9.57,0.0,66.02
4,8.64,47.79,0.0,1.21,0.0,0.0,0.0,5.9,0.0,-0.0,-0.0,-0.0,120.87,102.96,21086.07,0.0,0.0,9.55,63.55
5,9.34,45.27,0.0,1.25,0.0,0.0,5.49,0.0,0.0,-0.0,-0.0,-0.0,120.87,96.75,21086.07,1.43,8.09,0.0,61.35
6,10.1,43.29,0.0,1.21,0.0,0.0,5.07,0.0,0.0,-0.0,-0.0,-0.0,114.77,96.75,21086.07,0.0,9.5,0.0,59.67
7,10.61,41.14,4.49,1.18,0.0,0.0,2.79,0.0,0.0,-0.0,-0.0,-0.0,109.13,96.75,21086.07,0.0,9.51,0.0,60.21
8,10.98,40.21,18.66,1.19,0.0,0.0,0.0,0.0,0.0,-6.2,-2.12,-0.0,106.03,96.75,21086.07,0.0,9.54,0.0,62.73
9,10.97,40.5,32.72,1.31,0.0,0.0,0.0,0.0,0.0,-6.2,-13.12,-0.0,111.92,98.65,21086.07,0.0,9.58,0.0,66.18
10,10.87,38.81,41.67,1.38,0.0,0.0,0.0,0.0,0.0,-6.2,-16.14,-1.3,117.81,110.46,21086.07,0.0,9.61,0.0,69.09
11,10.96,37.48,43.49,1.38,0.0,0.0,0.0,0.0,0.0,-6.2,-15.89,-0.0,123.7,124.98,21086.84,6.92,2.71,0.0,71.22
12,10.81,36.1,38.52,1.29,0.0,0.0,0.0,0.0,0.0,-6.2,-0.0,-6.62,129.59,139.28,21086.84,0.0,9.66,0.0,73.9
13,10.58,32.48,30.46,1.36,0.0,0.0,0.0,0.0,0.0,-0.02,0.0,-0.0,135.48,139.28,21090.75,0.0,9.67,0.0,74.86
14,10.56,30.06,19.35,1.25,0.0,12.56,0.0,0.0,1.16,-0.0,-0.0,-0.0,135.5,139.28,21090.75,0.0,9.67,0.0,74.96
15,11.4,29.08,6.81,1.27,0.0,12.56,0.0,0.0,12.43,0.0,-0.0,-0.0,135.5,139.28,21088.17,0.0,9.66,0.0,73.55
16,12.31,32.39,0.09,1.25,0.0,12.56,-0.0,0.0,12.88,-0.0,-0.0,-0.0,135.5,139.28,21060.53,6.92,2.72,0.0,71.49
17,12.77,39.8,0.0,1.33,0.0,12.56,-0.0,0.0,6.97,-0.0,-0.0,-0.0,135.5,139.28,21031.92,0.0,9.65,0.0,73.43
18,12.85,43.9,0.0,1.45,0.0,3.21,0.0,17.63,0.0,0.0,-0.0,-0.0,135.5,139.28,21016.43,0.0,9.72,0.0,79.03
19,12.73,42.93,0.0,1.82,0.0,12.56,0.0,0.0,14.07,-0.0,-0.0,-0.0,135.5,120.72,21016.43,6.92,2.85,0.0,84.11
20,12.58,41.18,0.0,1.71,0.0,12.56,0.0,0.0,17.13,-0.0,-0.0,-0.0,135.5,120.72,20985.17,0.0,9.78,0.0,85.16
21,12.07,40.62,0.0,1.5,0.0,12.56,0.0,0.0,15.81,-0.0,-0.0,-0.0,135.5,120.72,20947.1,0.0,9.76,0.0,82.55
22,11.31,38.79,0.0,1.47,0.0,12.56,0.0,0.0,14.96,-0.0,-0.0,-0.0,135.5,120.72,20911.97,6.92,2.8,0.0,79.08
23,10.63,37.86,0.0,1.39,0.0,12.56,4.63,0.0,10.54,0.0,-0.0,-0.0,135.5,120.72,20878.73,0.0,9.7,0.0,77.61
24,6.71,54.07,0.0,1.31,0.0,12.56,-0.0,0.0,2.07,-0.0,-0.0,-0.0,130.35,120.72,20855.31,6.92,0.0,2.77,76.73
25,6.99,51.97,0.0,1.15,0.0,12.56,0.0,0.0,0.38,-0.0,-0.0,-0.0,130.35,120.72,20850.71,0.0,9.65,0.0,73.05
26,7.33,49.15,0.0,1.1,0.0,10.58,0.0,0.0,0.0,0.0,-0.0,-0.0,130.35,120.72,20849.85,6.92,2.68,0.0,68.16
27,7.88,48.61,0.0,1.15,0.0,0.0,6.92,0.0,2.25,-0.0,-0.0,-0.0,130.35,120.72,20849.85,0.0,0.0,9.58,66.81
28,8.64,47.79,0.0,1.16,0.0,8.57,0.0,0.0,0.0,-0.0,-0.0,-0.0,122.67,120.72,20844.85,0.0,9.57,0.0,66.17
29,9.34,45.27,0.0,1.21,0.0,10.22,0.0,0.0,0.0,0.0,-0.0,-0.0,122.67,120.72,20844.85,6.92,2.66,0.0,66.04
30,10.1,43.29,0.0,1.21,0.0,5.39,6.92,0.0,0.0,-0.0,-0.0,-0.0,122.67,120.72,20844.85,0.0,9.58,0.0,66.9
31,10.61,41.14,4.49,1.18,0.0,12.56,0.39,0.0,0.0,-0.0,-0.0,-0.0,114.98,120.72,20844.85,0.0,9.62,0.0,70.37
32,10.98,40.21,18.66,1.23,0.0,3.6,0.0,0.0,0.0,-0.0,-0.0,-0.0,114.55,120.72,20844.85,0.0,9.67,0.0,74.68
33,10.97,40.5,32.72,1.33,0.0,0.0,0.0,0.0,0.0,-6.2,-0.64,-0.0,114.55,120.72,20844.85,6.92,2.79,0.0,78.67
34,10.87,38.81,41.67,1.43,0.0,0.0,0.0,0.0,0.0,-6.2,-5.83,-0.0,120.44,121.3,20844.85,0.0,9.74,0.0,80.75
35,10.96,37.48,43.49,1.5,0.0,0.0,0.0,0.0,0.0,-6.2,-5.24,-0.0,126.33,126.55,20844.85,6.92,2.83,0.0,81.99
36,10.81,36.1,38.52,1.58,0.0,0.0,-0.0,0.0,0.0,-3.45,0.0,-0.0,132.22,131.27,20844.85,0.0,0.0,9.77,83.56
37,10.58,32.48,30.46,1.62,0.0,10.41,0.0,0.0,0.0,-0.0,-0.0,-0.0,135.5,131.27,20844.85,0.0,9.79,0.0,85.55
38,10.56,30.06,19.35,1.46,0.0,0.5,6.92,17.55,0.0,-0.0,-0.0,-0.0,135.5,131.27,20844.85,0.0,9.8,-0.0,86.4
39,11.4,29.08,6.81,1.43,0.0,12.56,0.0,17.57,5.76,-0.0,-0.0,-0.0,127.81,112.8,20844.85,0.0,9.78,0.0,84.61
