hour,offshore,onshore,pv,river,lake,biogas,phs,battery,methanation,Storage phs,Storage battery,Storage methanation,Stored phs,Stored battery,Stored methanation,reserve phs,reserve battery,reserve lake,Electricity demand
0,17.3,35.94,0.0,1.27,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.56,0.0,18.11,5443.11,0.0,7.05,0.0,28.69
1,17.6,37.08,0.0,1.3,0.0,0.0,0.0,0.0,0.0,-1.6,-0.0,-7.56,0.0,18.11,5447.57,0.0,7.07,0.0,31.21
2,17.6,37.78,0.0,1.11,0.0,0.0,0.0,0.0,0.0,-6.2,-0.0,-7.56,1.52,18.11,5452.03,0.0,7.04,0.0,27.7
3,17.47,38.03,0.0,1.12,0.0,0.0,0.0,0.0,0.0,-6.2,-0.0,-7.56,7.41,18.11,5456.49,0.0,7.04,0.0,27.99
4,17.04,37.84,0.0,1.21,0.0,0.0,0.0,0.0,0.0,-6.2,-0.0,-7.56,13.3,18.11,5460.95,0.0,7.04,0.0,28.16
5,16.65,38.01,0.0,1.25,0.0,0.0,0.0,0.0,0.0,-6.2,-0.0,-7.56,19.19,18.11,5465.41,0.0,0.0,7.04,28.02
6,16.41,38.13,0.0,1.21,0.0,0.0,0.0,0.0,0.0,-6.2,-13.0,-7.56,25.08,18.11,5469.87,0.0,7.05,0.0,29.0
7,16.17,38.23,0.45,1.18,0.0,0.0,0.0,0.0,0.0,-6.2,-0.0,-7.56,30.97,29.8,5474.33,5.7,1.33,0.0,27.78
8,16.12,37.82,6.84,1.19,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.56,36.86,29.8,5478.79,0.0,7.07,0.0,31.14
9,15.92,36.11,17.71,1.31,0.0,0.0,0.0,0.0,0.0,-6.2,-0.0,-7.56,36.86,29.8,5483.25,0.0,7.14,0.0,37.23
10,15.73,35.35,27.31,1.38,0.0,0.0,0.0,0.0,0.0,-6.2,-0.0,-7.56,42.75,29.8,5487.71,0.0,7.17,0.0,40.06
11,15.81,36.25,31.26,1.38,0.0,0.0,0.0,0.0,0.0,-6.2,-0.0,-7.56,48.64,29.8,5492.16,5.7,1.51,0.0,43.68
12,15.99,36.42,30.17,1.29,0.0,0.0,0.0,0.0,0.0,-6.2,-0.0,-7.56,54.53,29.8,5496.62,0.0,7.25,0.0,46.73
13,16.18,36.3,23.37,1.36,0.0,0.0,0.0,0.0,0.0,-6.2,-0.0,-7.56,60.42,29.8,5501.08,0.0,7.22,0.0,44.52
14,16.37,35.91,13.82,1.25,0.0,0.0,0.0,0.0,0.0,-6.2,-0.0,-7.56,66.31,29.8,5505.54,0.0,0.0,7.14,37.07
