hour,offshore,onshore,pv,river,lake,biogas,phs,battery,methanation,Storage phs,Storage battery,Storage methanation,Stored phs,Stored battery,Stored methanation,reserve phs,reserve battery,reserve lake,Electricity demand
0,17.3,49.6,0.0,1.27,0.0,0.0,1.57,0.0,0.0,-0.0,-0.0,-8.85,69.72,64.0,8324.86,0.0,8.07,0.0,60.89
1,17.6,51.17,0.0,1.3,0.0,0.0,1.88,0.0,0.0,-0.0,-0.0,-8.85,67.98,64.0,8330.08,0.0,8.09,0.0,63.09
2,17.6,52.15,0.0,1.11,0.0,0.0,1.47,0.0,0.0,-0.0,-0.0,-8.85,65.89,64.0,8335.3,4.37,3.73,0.0,63.47
3,17.47,52.49,0.0,1.12,0.0,0.0,0.0,0.0,0.0,-0.88,-0.0,-8.85,64.26,64.0,8340.52,0.0,8.07,0.0,61.35
4,17.04,52.22,0.0,1.21,0.0,0.0,0.0,0.0,0.0,-3.76,-0.0,-8.85,65.09,64.0,8345.75,0.0,8.04,0.0,57.86
5,16.65,52.46,0.0,1.25,0.0,0.0,0.0,0.0,0.0,-6.06,-0.0,-8.85,68.66,64.0,8350.97,0.0,0.0,8.01,55.45
6,16.41,52.62,0.0,1.21,0.0,0.0,0.0,0.0,0.0,-6.2,-0.83,-8.85,74.42,64.0,8356.19,0.0,8.0,0.0,54.37
7,16.17,52.76,0.45,1.18,0.0,0.0,0.0,0.0,0.0,-6.2,-1.95,-8.85,80.31,64.74,8361.41,5.84,2.15,0.0,53.56
8,16.12,52.19,6.75,1.19,0.0,0.0,0.0,0.0,0.0,-6.2,-7.72,-8.85,86.2,66.5,8366.64,0.0,7.99,0.0,53.49
9,15.92,49.84,17.49,1.31,0.0,0.0,0.0,0.0,0.0,-6.2,-0.0,-8.85,92.09,73.45,8371.86,0.0,7.98,0.0,53.17
10,15.73,48.79,26.97,1.38,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.85,97.98,73.45,8377.08,0.0,8.0,0.0,54.92
11,15.81,50.03,30.87,1.38,0.0,0.0,0.0,0.0,0.0,-6.2,-16.85,-8.85,97.98,73.45,8382.3,5.84,2.18,0.0,56.61
12,15.99,50.27,29.79,1.29,0.0,0.0,0.0,0.0,0.0,-6.2,-0.0,-8.85,103.87,88.61,8387.52,0.0,8.03,0.0,57.76
13,16.18,50.1,23.09,1.36,0.0,0.0,0.0,0.0,0.0,-6.2,-0.0,-8.85,109.76,88.61,8392.75,0.0,8.07,0.0,60.79
14,16.37,49.56,13.64,1.25,0.0,0.0,0.0,0.0,0.0,-6.2,-0.0,-8.85,115.65,88.61,8397.97,0.0,8.04,0.0,58.33
15,16.58,50.6,3.91,1.27,0.0,0.0,0.0,0.0,0.0,-6.2,-0.93,-8.85,121.54,88.61,8403.19,0.0,8.02,0.0,56.37
16,16.75,51.41,0.0,1.25,0.0,0.0,0.0,0.0,0.0,-4.92,-0.0,-8.85,127.43,89.45,8408.41,5.84,2.17,0.0,55.65
17,16.82,51.46,0.0,1.33,0.0,0.0,0.0,0.0,0.0,-3.57,-0.47,-8.85,132.11,89.45,8413.64,0.0,8.02,0.0,56.72
18,16.72,50.68,0.0,1.45,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-7.03,135.5,89.87,8418.86,0.0,0.0,8.08,61.81
19,16.42,49.53,0.0,1.82,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-3.29,135.5,89.87,8423.01,5.84,2.27,0.0,64.48
20,16.09,47.61,0.0,1.71,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.72,135.5,89.87,8424.95,0.0,8.11,0.0,64.69
21,15.64,45.95,0.0,1.5,0.0,0.0,0.08,0.0,0.46,-0.0,0.0,-0.0,135.5,89.87,8425.38,0.0,8.1,0.0,63.62
22,15.04,44.63,0.0,1.47,0.0,0.0,0.0,0.0,0.0,-0.09,-0.0,-0.0,135.41,89.87,8424.35,5.84,2.23,0.0,61.05
23,14.32,42.72,0.0,1.39,0.0,0.0,0.0,-0.0,4.63,-0.0,-0.0,-0.0,135.5,89.87,8424.35,0.0,8.09,0.0,63.06
24,13.75,41.02,0.0,1.31,0.0,0.0,0.0,0.0,9.72,0.0,-0.0,-0.0,135.5,89.87,8414.07,5.84,2.28,0.0,65.81
25,13.3,39.95,0.0,1.15,0.0,0.0,0.0,0.0,2.96,-0.0,-0.0,-0.0,135.5,89.87,8392.46,0.0,8.03,0.0,57.36
26,12.84,38.95,0.0,1.1,0.0,0.0,0.0,0.0,5.04,-0.0,-0.0,-0.0,135.5,89.87,8385.87,0.0,8.04,0.0,57.94
27,12.47,37.96,0.0,1.15,0.0,0.0,0.0,0.0,4.84,-0.0,-0.0,-0.0,135.5,89.87,8374.66,0.0,8.02,0.0,56.43
28,12.01,37.78,0.0,1.16,0.0,0.0,0.0,0.0,3.44,-0.0,-0.0,-0.0,135.5,89.87,8363.9,0.0,8.0,0.0,54.38
29,11.34,36.85,0.0,1.21,0.0,0.0,0.0,0.0,5.04,-0.0,0.0,-0.0,135.5,89.87,8356.26,0.0,8.0,0.0,54.44
30,10.41,34.75,0.0,1.21,0.0,0.0,0.0,0.0,10.51,-0.0,-0.0,-0.0,135.5,89.87,8345.06,0.0,8.02,0.0,56.88
31,9.32,32.2,1.16,1.18,0.61,0.0,5.08,0.0,11.19,-0.0,0.0,-0.0,135.5,89.87,8321.71,0.76,0.0,7.31,60.74
32,8.08,28.14,11.44,1.23,0.0,4.99,0.0,0.0,11.19,-0.0,-0.0,-0.0,129.86,89.87,8296.84,0.0,8.12,0.0,65.08
33,6.31,23.41,24.11,1.33,0.0,0.73,0.0,-0.0,11.19,-0.0,-0.0,-0.0,129.86,89.87,8271.97,5.84,2.3,0.0,67.09
34,4.53,21.71,37.58,1.43,0.0,0.0,0.0,0.0,3.66,-0.0,-0.0,-0.0,129.86,89.87,8247.09,0.0,8.16,0.0,68.91
35,3.34,22.11,45.78,1.5,0.0,0.0,0.0,0.0,0.0,-2.95,0.0,0.0,129.86,89.87,8238.95,0.0,8.17,0.0,69.78
