hour,offshore,onshore,pv,river,lake,biogas,phs,battery,methanation,Storage phs,Storage battery,Storage methanation,Stored phs,Stored battery,Stored methanation,reserve phs,reserve battery,reserve lake,Electricity demand
0,7.98,17.99,0.0,1.27,0.0,0.0,0.46,0.0,0.0,-0.0,-0.0,0.0,84.42,35.68,0.0,3.36,0.8,0.0,27.7
1,8.12,18.56,0.0,1.3,0.0,0.0,3.82,0.0,-0.0,-5.51,-0.0,0.0,83.92,35.68,0.0,0.0,4.14,0.0,26.28
2,8.12,18.91,0.0,1.11,0.0,0.0,0.0,-0.0,0.0,-3.04,-0.0,0.0,84.91,35.68,0.0,3.82,0.31,0.0,25.1
3,8.06,19.04,0.0,1.12,0.0,0.0,0.0,0.0,0.0,-4.41,-0.0,0.0,87.79,35.68,0.0,0.0,4.11,0.0,23.81
4,7.86,18.94,0.0,1.21,0.0,0.0,0.0,0.0,0.0,-5.45,-0.0,0.0,91.98,35.68,0.0,0.0,4.1,0.0,22.56
5,7.68,19.03,0.0,1.25,0.0,0.0,0.0,0.0,0.0,-5.55,-0.0,0.0,97.17,35.68,0.0,3.82,0.28,0.0,22.4
6,7.57,19.09,0.0,1.21,0.0,0.0,0.0,0.0,0.0,-2.59,-0.0,0.0,102.44,35.68,0.0,3.82,0.0,0.31,25.28
7,7.46,19.14,0.28,1.18,0.0,0.0,0.0,0.0,0.0,-1.09,-0.0,0.0,104.9,35.68,0.0,0.0,4.15,0.0,26.97
8,7.44,18.93,4.23,1.19,0.0,0.0,0.0,0.0,0.0,-0.69,-0.0,0.0,105.94,35.68,0.0,0.0,4.19,0.0,31.09
9,7.34,18.08,10.94,1.31,0.0,0.0,0.0,0.0,0.0,-6.2,-0.0,0.0,106.6,35.68,0.0,0.0,0.0,4.2,31.45
10,7.26,17.7,16.87,1.38,0.0,0.0,0.0,0.0,0.0,-6.2,-0.0,0.0,112.49,35.68,0.0,0.0,4.21,0.0,32.24
11,7.29,18.15,19.32,1.38,0.0,0.0,0.0,0.0,0.0,-6.2,-0.0,0.0,118.38,35.68,0.0,3.82,0.4,0.0,33.48
12,7.37,18.23,18.64,1.29,0.0,0.0,0.0,0.0,0.0,-6.2,-0.0,0.0,124.27,35.68,0.0,3.82,0.45,0.0,37.41
13,7.46,18.17,14.44,1.36,0.0,0.0,0.0,0.0,0.0,-3.75,-0.0,0.0,130.16,35.68,0.0,3.82,0.45,0.0,37.68
14,7.55,17.98,8.54,1.25,0.0,0.0,0.0,0.0,0.0,-1.87,-0.0,0.0,133.73,35.68,0.0,0.0,4.22,0.0,33.45
15,7.65,18.35,2.45,1.27,0.0,0.81,0.0,-0.0,0.0,-0.0,-0.0,0.0,135.5,35.68,0.0,0.0,4.19,0.0,30.52
16,7.73,18.65,0.0,1.25,0.0,0.0,3.04,-0.0,0.0,-0.0,-0.0,-0.0,135.5,35.68,0.0,0.78,3.41,0.0,30.67
17,7.76,18.67,0.0,1.33,0.84,0.0,3.82,-0.0,0.0,-0.0,-0.0,-0.0,132.12,35.68,0.0,0.0,4.21,0.0,32.41
18,7.71,18.38,0.0,1.45,0.0,6.76,0.0,0.0,-0.0,0.0,-0.0,0.0,127.88,35.68,0.0,3.82,0.41,0.0,34.3
19,7.57,17.96,0.0,1.82,0.0,9.32,3.82,0.0,0.0,-0.0,-0.0,-0.0,127.88,35.68,0.0,0.0,4.3,0.0,40.5
20,7.42,17.27,0.0,1.71,0.0,12.19,0.0,0.0,0.0,-0.0,-0.0,-0.0,123.63,35.68,0.0,0.0,4.28,0.0,38.59
21,7.21,16.67,0.0,1.5,1.6,0.0,3.82,0.0,0.0,-0.0,-0.0,0.0,123.63,35.68,0.0,0.0,4.19,0.0,30.79
22,6.94,16.19,0.0,1.47,0.0,4.76,0.0,0.0,-0.0,-0.0,0.0,0.0,119.39,35.68,0.0,3.82,0.36,0.0,29.36
23,6.61,15.5,0.0,1.39,0.0,1.77,3.82,0.0,0.0,-0.0,-0.0,-0.0,119.39,35.68,0.0,0.0,4.17,0.0,29.08
24,6.34,14.88,0.0,1.31,0.0,5.62,0.0,0.0,-0.0,-0.0,-0.0,-0.0,115.15,35.68,0.0,0.0,4.16,0.0,28.16
25,6.14,14.49,0.0,1.15,0.0,0.74,3.82,-0.0,0.0,-0.0,0.0,-0.0,115.15,35.68,0.0,0.0,4.14,0.0,26.33
26,5.92,14.13,0.0,1.1,0.0,4.04,0.0,0.0,0.0,-0.0,-0.0,-0.0,110.9,35.68,0.0,0.0,4.13,0.0,25.19
27,5.75,13.77,0.0,1.15,0.0,3.19,0.0,0.0,-0.0,-0.0,-0.0,0.0,110.9,35.68,0.0,3.82,0.3,0.0,23.86
28,5.54,13.7,0.0,1.16,0.0,1.87,0.0,-0.0,0.0,-0.0,-0.0,-0.0,110.9,35.68,0.0,0.0,4.1,0.0,22.27
29,5.23,13.37,0.0,1.21,0.0,2.95,0.0,0.0,0.0,-0.0,0.0,-0.0,110.9,35.68,0.0,3.82,0.28,0.0,22.76
30,4.8,12.6,0.0,1.21,0.0,6.69,0.0,0.0,0.0,-0.0,-0.0,-0.0,110.9,35.68,0.0,0.0,4.13,0.0,25.3
31,4.3,11.68,0.72,1.18,5.29,0.0,3.82,0.29,0.0,-0.0,-0.0,-0.0,110.9,35.68,0.0,0.0,4.15,0.0,27.28
32,3.73,10.21,7.16,1.23,4.69,0.0,3.82,0.0,0.0,-0.0,-0.0,-0.0,106.66,35.38,0.0,0.0,4.19,0.0,30.83
33,2.91,8.49,15.09,1.33,0.0,5.48,0.0,0.0,-0.0,-0.0,-0.0,0.0,102.42,35.38,0.0,0.0,0.0,4.22,33.3
34,2.09,7.87,23.51,1.43,0.0,0.43,0.0,0.0,-0.0,-0.0,-0.0,0.0,102.42,35.38,0.0,0.0,4.24,0.0,35.33
35,1.54,8.02,28.64,1.5,0.0,0.0,-0.0,0.0,-0.0,-2.68,-0.0,0.0,102.42,35.38,0.0,3.82,0.44,0.0,37.02
36,1.21,8.08,29.57,1.58,0.39,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,104.96,35.38,0.0,0.0,0.0,4.3,40.83
37,1.14,8.17,25.7,1.62,0.0,4.6,0.0,0.0,0.0,-0.0,0.0,0.0,104.96,35.38,0.0,3.82,0.0,0.49,41.24
38,1.17,8.05,18.38,1.46,0.0,7.87,0.0,0.0,0.0,0.0,-0.0,-0.0,104.96,35.38,0.0,3.82,0.44,0.0,36.93
39,1.26,8.6,6.21,1.43,0.0,15.4,0.0,0.0,-0.0,-0.0,-0.0,0.0,104.96,35.38,0.0,3.82,0.4,0.0,32.9
40,1.27,9.09,0.03,1.59,0.0,15.06,3.82,-0.0,0.0,-0.0,-0.0,-0.0,104.96,35.38,0.0,0.0,4.19,0.0,30.85
41,1.13,8.69,0.0,1.9,8.63,13.77,0.0,0.0,0.0,-0.0,-0.0,-0.0,100.72,35.38,0.0,0.0,0.0,4.23,34.12
42,0.92,7.76,0.0,2.24,8.28,16.98,0.0,-0.0,0.0,-0.0,-0.0,0.0,100.72,35.38,0.0,0.0,4.25,0.0,36.18
43,0.74,6.76,0.0,2.49,5.07,16.98,3.82,3.41,0.0,-0.0,-0.0,0.0,100.72,35.38,0.0,0.0,4.28,0.0,39.26
