hour,offshore,onshore,pv,river,lake,biogas,phs,battery,methanation,Storage phs,Storage battery,Storage methanation,Stored phs,Stored battery,Stored methanation,reserve phs,reserve battery,reserve lake,Electricity demand
0,17.3,61.4,0.0,1.27,0.0,0.0,6.39,1.8,0.0,-0.0,-0.0,-10.99,71.85,133.15,10106.94,0.0,10.47,0.0,77.18
1,17.6,63.35,0.0,1.3,0.0,0.0,6.39,0.0,0.0,-4.01,-0.0,-10.99,64.74,131.26,10113.42,0.0,10.43,0.0,73.64
2,17.6,64.56,0.0,1.11,0.0,0.0,2.26,0.0,0.0,-6.2,-0.0,-10.99,61.44,131.26,10119.91,0.0,10.37,0.0,68.34
3,17.47,64.99,0.0,1.12,0.0,0.0,0.0,0.0,0.0,-6.2,-0.0,-10.99,64.82,131.26,10126.39,0.0,10.34,0.0,66.02
4,17.04,64.65,0.0,1.21,0.0,0.0,0.0,0.0,0.0,-6.2,-0.0,-10.99,70.71,131.26,10132.88,6.39,3.92,0.0,63.55
5,16.65,64.95,0.0,1.25,0.0,0.0,0.0,0.0,0.0,-6.2,-0.0,-10.99,76.6,131.26,10139.36,0.0,10.29,0.0,61.35
6,16.41,65.15,0.0,1.21,0.0,0.0,0.0,0.0,0.0,-6.2,-0.0,-10.99,82.49,131.26,10145.85,6.39,3.88,0.0,59.67
7,16.17,65.32,0.61,1.18,0.0,0.0,0.0,0.0,0.0,-6.2,-5.89,-10.99,88.38,131.26,10152.33,6.39,3.89,0.0,60.21
8,16.12,64.62,9.29,1.19,0.0,0.0,0.0,0.0,0.0,-6.2,-11.31,-10.99,94.27,136.55,10158.82,0.0,10.31,0.0,62.73
9,15.92,61.7,24.06,1.31,0.0,0.0,0.0,0.0,0.0,-6.2,-19.63,-10.99,100.16,146.73,10165.3,0.0,10.34,0.0,66.18
10,15.73,60.4,37.1,1.38,0.0,0.0,0.0,0.0,0.0,-6.2,-0.0,-10.99,106.05,164.39,10171.79,6.39,3.98,0.0,69.09
11,15.81,61.94,42.48,1.38,0.0,0.0,0.0,0.0,0.0,-6.2,-0.0,-10.99,111.94,164.39,10178.27,0.0,0.0,10.4,71.22
12,15.99,62.23,40.99,1.29,0.0,0.0,0.0,0.0,0.0,-6.2,-0.0,-10.99,117.83,164.39,10184.76,0.0,10.43,0.0,73.9
13,16.18,62.02,31.76,1.36,0.0,0.0,0.0,0.0,0.0,-6.2,-19.27,-10.99,123.72,164.39,10191.24,0.0,10.44,0.0,74.86
14,16.37,61.35,18.77,1.25,0.0,0.0,0.0,0.0,0.0,-6.2,-5.6,-10.99,129.61,181.74,10197.73,0.0,0.0,10.44,74.96
15,16.58,62.64,5.38,1.27,0.0,0.0,5.3,-0.0,0.0,-6.2,-0.0,-10.99,135.5,186.78,10204.21,0.0,10.43,0.0,73.55
16,16.75,63.65,0.0,1.25,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-10.17,135.5,186.78,10210.7,6.39,4.01,0.0,71.49
