hour,offshore,onshore,pv,river,lake,biogas,phs,battery,methanation,Storage phs,Storage battery,Storage methanation,Stored phs,Stored battery,Stored methanation,reserve phs,reserve battery,reserve lake,Electricity demand
0,6.71,54.07,0.0,1.27,0.0,0.0,0.79,14.33,0.0,-0.0,-0.0,-0.0,135.5,142.64,20156.16,5.04,4.72,0.0,77.18
1,6.99,51.97,0.0,1.3,0.0,0.0,5.83,7.55,0.0,-0.0,-0.0,-0.0,134.62,127.55,20156.16,0.0,9.72,0.0,73.64
2,7.33,49.15,0.0,1.11,0.0,0.0,5.83,4.92,0.0,-0.0,-0.0,-0.0,128.14,119.6,20156.16,0.0,9.66,0.0,68.34
3,7.88,48.61,0.0,1.12,0.0,0.0,5.83,2.57,0.0,-0.0,-0.0,-0.0,121.66,114.42,20156.16,0.0,9.64,0.0,66.02
4,8.64,47.79,0.0,1.21,0.0,0.0,5.83,0.07,0.0,-0.0,-0.0,-0.0,115.17,111.71,20156.16,0.0,0.0,9.61,63.55
5,9.34,45.27,0.0,1.25,0.0,0.0,0.0,5.49,0.0,-0.0,-0.0,-0.0,108.69,111.64,20156.16,0.0,9.59,0.0,61.35
6,10.1,43.29,0.0,1.21,0.0,0.0,0.0,5.07,0.0,-0.0,-0.0,-0.0,108.69,105.86,20156.16,0.0,9.57,0.0,59.67
7,10.61,41.14,4.55,1.18,0.0,0.0,2.73,0.0,0.0,-0.0,-0.0,-0.0,108.69,100.52,20156.16,3.1,6.47,0.0,60.21
8,10.98,40.21,18.9,1.19,0.0,0.0,0.0,0.0,0.0,-6.2,-0.0,-2.36,105.66,100.52,20156.16,0.0,9.6,0.0,62.73
9,10.97,40.5,33.15,1.31,0.0,0.0,0.0,0.0,0.0,-6.2,-5.24,-8.31,111.55,100.52,20157.55,0.0,9.64,0.0,66.18
10,10.87,38.81,42.21,1.38,0.0,0.0,0.0,0.0,0.0,-6.2,-17.98,-0.0,117.44,105.23,20162.45,0.0,0.0,9.67,69.09
11,10.96,37.48,44.05,1.38,0.0,0.0,0.0,0.0,0.0,-6.2,-16.45,-0.0,123.33,121.42,20162.45,0.0,9.7,0.0,71.22
12,10.81,36.1,39.02,1.29,0.0,0.0,0.0,0.0,0.0,-6.2,-7.12,-0.0,129.22,136.23,20162.45,0.0,9.73,0.0,73.9
13,10.58,32.48,30.86,1.36,0.0,0.0,0.0,0.0,0.0,-0.41,-0.0,-0.0,135.11,142.64,20162.45,0.0,9.74,0.0,74.86
14,10.56,30.06,19.61,1.25,0.0,12.37,0.0,-0.0,1.11,-0.0,0.0,-0.0,135.5,142.64,20162.45,5.83,3.9,0.0,74.96
15,11.4,29.08,6.9,1.27,0.0,12.37,0.0,0.0,12.54,-0.0,-0.0,-0.0,135.5,142.64,20160.0,5.83,3.89,0.0,73.55
16,12.31,32.39,0.1,1.25,0.0,12.37,0.0,-0.0,13.07,-0.0,-0.0,-0.0,135.5,142.64,20132.13,5.83,3.87,0.0,71.49
17,12.77,39.8,0.0,1.33,0.0,12.37,0.0,0.0,7.16,-0.0,0.0,-0.0,135.5,142.64,20103.08,5.83,3.89,0.0,73.43
18,12.85,43.9,0.0,1.45,0.0,12.37,0.0,-0.0,8.47,0.0,-0.0,-0.0,135.5,142.64,20087.16,5.83,0.0,3.95,79.03
19,12.73,42.93,0.0,1.82,0.0,12.37,-0.0,-0.0,14.26,-0.0,-0.0,-0.0,135.5,142.64,20068.33,5.83,4.0,0.0,84.11
20,12.58,41.18,0.0,1.71,0.0,12.37,5.83,11.49,0.0,-0.0,-0.0,-0.0,135.5,142.64,20036.63,-0.0,9.85,0.0,85.16
21,12.07,40.62,0.0,1.5,0.0,12.37,0.0,0.0,16.0,-0.0,-0.0,-0.0,129.02,130.54,20036.63,5.83,3.99,0.0,82.55
22,11.31,38.79,0.0,1.47,0.0,12.37,0.0,0.0,15.15,-0.0,-0.0,-0.0,129.02,130.54,20001.07,5.83,0.0,3.95,79.08
23,10.63,37.86,0.0,1.39,0.0,12.37,0.0,0.0,15.36,-0.0,-0.0,-0.0,129.02,130.54,19967.4,5.83,3.93,0.0,77.61
24,6.71,54.07,0.0,1.31,0.0,8.8,5.83,0.0,0.0,-0.0,-0.0,-0.0,129.02,130.54,19933.26,0.0,9.76,0.0,76.73
25,6.99,51.97,0.0,1.15,0.0,7.11,5.83,0.0,0.0,-0.0,-0.0,-0.0,122.54,130.54,19933.26,-0.0,9.72,0.0,73.05
26,7.33,49.15,0.0,1.1,0.0,9.32,1.26,0.0,0.0,-0.0,-0.0,-0.0,116.05,130.54,19933.26,4.58,5.09,0.0,68.16
27,7.88,48.61,0.0,1.15,0.0,9.17,0.0,0.0,0.0,-0.0,-0.0,-0.0,114.66,130.54,19933.26,0.0,0.0,9.65,66.81
28,8.64,47.79,0.0,1.16,0.0,8.57,0.0,0.0,0.0,-0.0,-0.0,-0.0,114.66,130.54,19933.26,0.0,9.64,0.0,66.17
29,9.34,45.27,0.0,1.21,0.0,10.22,0.0,0.0,0.0,-0.0,-0.0,-0.0,114.66,130.54,19933.26,5.83,3.81,0.0,66.04
30,10.1,43.29,0.0,1.21,0.0,12.31,0.0,0.0,0.0,-0.0,-0.0,-0.0,114.66,130.54,19933.26,0.0,9.65,0.0,66.9
31,10.61,41.14,4.55,1.18,0.0,12.37,0.53,0.0,0.0,-0.0,-0.0,-0.0,114.66,130.54,19933.26,0.0,9.69,0.0,70.37
32,10.98,40.21,18.9,1.23,0.0,3.35,0.0,0.0,0.0,-0.0,-0.0,-0.0,114.07,130.54,19933.26,0.0,9.73,0.0,74.68
33,10.97,40.5,33.15,1.33,0.0,0.0,0.0,0.0,0.0,-6.2,-1.07,-0.0,114.07,130.54,19933.26,0.0,9.78,0.0,78.67
34,10.87,38.81,42.21,1.43,0.0,0.0,0.0,0.0,0.0,-6.2,-6.38,-0.0,119.96,131.5,19933.26,0.0,9.8,0.0,80.75
35,10.96,37.48,44.05,1.5,0.0,0.0,0.0,0.0,0.0,-6.2,-5.81,-0.0,125.85,137.24,19933.26,0.0,9.81,0.0,81.99
36,10.81,36.1,39.02,1.58,0.0,0.0,0.0,0.0,0.0,-3.96,-0.0,-0.0,131.74,142.46,19933.26,0.0,0.0,9.83,83.56
37,10.58,32.48,30.86,1.62,0.0,9.66,0.36,0.0,0.0,-0.0,0.0,-0.0,135.5,142.46,19933.26,0.0,9.85,0.0,85.55
38,10.56,30.06,19.61,1.46,0.0,12.37,0.0,-0.0,12.34,0.0,-0.0,-0.0,135.1,142.46,19933.26,5.83,4.03,0.0,86.4
39,11.4,29.08,6.9,1.43,0.0,12.37,0.0,-0.0,23.44,0.0,-0.0,-0.0,135.1,142.46,19905.83,0.0,9.84,0.0,84.61
40,12.31,32.39,0.1,1.59,0.0,12.37,-0.0,0.0,23.38,-0.0,-0.0,-0.0,135.1,142.46,19853.74,0.0,9.82,0.0,82.13
41,12.77,39.8,0.0,1.9,0.0,12.37,0.0,0.0,17.43,-0.0,-0.0,-0.0,135.1,142.46,19801.79,5.83,4.01,0.0,84.27
42,12.85,43.9,0.0,2.24,0.0,2.77,0.0,0.0,28.5,0.0,-0.0,-0.0,135.1,142.46,19763.06,5.83,0.0,4.07,90.26
43,12.73,42.93,0.0,2.49,0.0,7.89,0.0,-0.0,28.5,0.0,-0.0,-0.0,135.1,142.46,19699.72,5.83,4.12,0.0,94.54
44,12.58,41.18,0.0,2.43,0.0,12.37,-0.0,2.27,22.16,-0.0,-0.0,-0.0,135.1,142.46,19636.39,5.83,4.1,0.0,92.99
45,12.07,40.62,0.0,2.12,0.0,6.27,0.0,0.0,28.5,0.0,0.0,-0.0,135.1,140.07,19587.15,5.83,4.06,0.0,89.58
46,11.31,38.79,0.0,1.93,0.0,12.37,-0.0,0.0,21.47,-0.0,-0.0,-0.0,135.1,140.07,19523.82,0.0,9.86,0.0,85.85
47,10.63,37.86,0.0,1.93,0.0,12.37,0.0,0.0,21.47,-0.0,-0.0,-0.0,135.1,140.07,19476.12,0.0,9.84,0.0,84.26
48,6.71,54.07,0.0,1.9,0.0,12.37,0.0,0.0,8.18,0.0,-0.0,-0.0,135.1,140.07,19428.4,0.0,9.83,0.0,83.23
49,6.99,51.97,0.0,1.79,0.0,12.37,0.0,0.0,6.71,0.0,-0.0,-0.0,135.1,140.07,19410.24,5.83,3.96,0.0,79.83
50,7.33,49.15,0.0,1.73,0.0,12.37,-0.0,0.0,4.19,-0.0,-0.0,-0.0,135.1,140.07,19395.32,0.0,9.74,0.0,74.76
51,7.88,48.61,0.0,1.64,0.0,12.37,0.0,0.0,2.55,0.0,-0.0,-0.0,135.1,140.07,19386.0,5.83,3.88,0.0,73.04
52,8.64,47.79,0.0,1.49,0.0,12.37,0.0,0.0,1.76,0.0,-0.0,-0.0,135.1,140.07,19380.34,5.83,3.87,0.0,72.05
53,9.34,45.27,0.0,1.45,0.0,12.37,0.0,0.0,3.82,0.0,-0.0,-0.0,135.1,140.07,19376.43,5.83,3.87,0.0,72.24
54,10.1,43.29,0.0,1.48,0.0,12.37,-0.0,0.0,7.39,-0.0,-0.0,-0.0,135.1,140.07,19367.95,5.83,0.0,3.9,74.62
55,10.61,41.14,4.55,1.53,0.0,12.37,5.83,0.0,3.77,-0.0,-0.0,-0.0,135.1,140.07,19351.53,0.0,9.79,0.0,79.8
56,10.98,40.21,18.9,1.67,0.0,5.61,5.83,0.0,0.0,-0.0,-0.0,-0.0,128.62,140.07,19343.16,0.0,0.0,9.83,83.21
57,10.97,40.5,33.15,1.71,0.0,0.0,0.0,0.0,0.0,-0.79,-0.0,-0.0,122.14,140.07,19343.16,0.0,9.85,0.0,85.53
58,10.87,38.81,42.21,1.88,0.0,0.0,0.0,0.0,0.0,-6.2,-1.17,-0.0,122.89,140.07,19343.16,0.0,0.0,9.86,86.4
59,10.96,37.48,44.05,1.99,0.0,0.0,0.0,0.0,0.0,-6.2,-1.68,-0.0,128.78,141.13,19343.16,0.0,9.87,0.0,86.6
60,10.81,36.1,39.02,2.01,0.0,0.0,-0.0,0.0,0.0,-0.88,0.0,-0.0,134.67,142.64,19343.16,5.83,4.04,0.0,87.06
61,10.58,32.48,30.86,2.0,0.0,12.37,0.0,0.0,0.51,0.0,0.0,-0.0,135.5,142.64,19343.16,0.0,9.89,0.0,88.8
62,10.56,30.06,19.61,1.85,0.0,12.37,0.0,0.0,14.8,-0.0,-0.0,-0.0,135.5,142.64,19342.02,0.0,0.0,9.89,89.24
