hour,offshore,onshore,pv,river,lake,biogas,phs,battery,methanation,Storage phs,Storage battery,Storage methanation,Stored phs,Stored battery,Stored methanation,reserve phs,reserve battery,reserve lake,Electricity demand
0,6.71,54.07,0.0,1.27,0.0,0.0,6.39,8.73,0.0,-0.0,-0.0,-0.0,135.5,186.78,5556.9,0.0,0.0,10.47,77.18
1,6.99,51.97,0.0,1.3,0.0,0.0,6.39,6.99,0.0,-0.0,-0.0,-0.0,128.4,177.59,5556.9,0.0,10.43,0.0,73.64
2,7.33,49.15,0.0,1.11,0.0,0.0,6.39,4.36,0.0,-0.0,-0.0,-0.0,121.29,170.23,5556.9,0.0,10.37,0.0,68.34
3,7.88,48.61,0.0,1.12,0.0,0.0,6.39,2.02,0.0,-0.0,-0.0,-0.0,114.19,165.64,5556.9,0.0,0.0,10.34,66.02
4,8.64,47.79,0.0,1.21,0.0,0.0,4.9,1.01,0.0,-0.0,-0.0,-0.0,107.08,163.52,5556.9,1.49,8.82,0.0,63.55
5,9.34,45.27,0.0,1.25,0.0,0.0,0.0,5.49,0.0,-0.0,-0.0,-0.0,101.64,162.46,5556.9,0.0,10.29,0.0,61.35
6,10.1,43.29,0.0,1.21,0.0,0.0,0.0,5.07,0.0,-0.0,-0.0,-0.0,101.64,156.68,5556.9,0.0,0.0,10.27,59.67
7,10.61,41.14,5.17,1.18,0.0,0.0,0.0,2.11,0.0,-0.0,-0.0,-0.0,101.64,151.34,5556.9,0.0,10.28,0.0,60.21
8,10.98,40.21,21.49,1.19,0.0,0.0,0.0,0.0,0.0,-6.2,-0.0,-4.95,101.64,149.13,5556.9,0.0,10.31,0.0,62.73
9,10.97,40.5,37.69,1.31,0.0,0.0,0.0,0.0,0.0,-6.2,-16.08,-2.0,107.53,149.13,5559.82,0.0,0.0,10.34,66.18
10,10.87,38.81,47.99,1.38,0.0,0.0,0.0,0.0,0.0,-6.2,-12.78,-10.99,113.42,163.6,5561.0,0.0,0.0,10.38,69.09
11,10.96,37.48,50.09,1.38,0.0,0.0,0.0,0.0,0.0,-6.2,-11.5,-10.99,119.31,175.1,5567.49,0.0,0.0,10.4,71.22
12,10.81,36.1,44.36,1.29,0.0,0.0,0.0,0.0,0.0,-6.2,-1.48,-10.99,125.2,185.45,5573.97,0.0,0.0,10.43,73.9
13,10.58,32.48,35.09,1.36,0.0,0.0,0.0,0.0,0.0,-4.64,-0.0,-0.0,131.09,186.78,5580.46,0.0,10.44,0.0,74.86
14,10.56,30.06,22.29,1.25,0.0,0.0,0.0,0.0,10.79,-0.0,-0.0,-0.0,135.5,186.78,5580.46,0.0,10.44,0.0,74.96
15,11.4,29.08,7.84,1.27,0.0,0.0,6.39,6.74,10.83,-0.0,-0.0,-0.0,135.5,186.78,5556.49,0.0,0.0,10.43,73.55
16,12.31,32.39,0.11,1.25,0.0,0.0,6.39,8.2,10.83,-0.0,-0.0,-0.0,128.4,179.68,5532.43,0.0,10.4,0.0,71.49
17,12.77,39.8,0.0,1.33,0.0,0.0,0.0,8.7,10.83,-0.0,-0.0,-0.0,121.29,171.05,5508.37,0.0,10.42,0.0,73.43
18,12.85,43.9,0.0,1.45,0.0,0.0,6.39,3.62,10.83,-0.0,-0.0,-0.0,121.29,161.89,5484.3,0.0,10.49,0.0,79.03
