hour,offshore,onshore,pv,river,lake,biogas,phs,battery,methanation,Storage phs,Storage battery,Storage methanation,Stored phs,Stored battery,Stored methanation,reserve phs,reserve battery,reserve lake,Electricity demand
0,4.24,35.92,0.0,1.27,0.0,0.0,0.0,0.0,0.0,-5.09,-0.0,-7.66,111.01,32.89,9973.03,0.0,7.44,0.0,28.69
1,4.42,34.53,0.0,1.3,0.0,0.0,0.0,0.0,0.0,-1.37,-0.0,-7.66,115.84,32.89,9977.55,0.0,7.47,0.0,31.21
2,4.63,32.65,0.0,1.11,0.0,0.0,0.0,0.0,0.0,-3.04,-0.0,-7.66,117.15,32.89,9982.07,0.0,0.0,7.43,27.7
3,4.98,32.3,0.0,1.12,0.0,0.0,0.0,0.0,0.0,-2.75,-0.0,-7.66,120.03,32.89,9986.59,0.0,0.0,7.44,27.99
4,5.46,31.76,0.0,1.21,0.0,0.0,0.0,0.0,0.0,-2.6,-0.0,-7.66,122.65,32.89,9991.11,0.0,7.44,0.0,28.16
5,5.9,30.08,0.0,1.25,0.0,0.0,0.0,0.0,0.0,-1.55,-0.0,-7.66,125.12,32.89,9995.63,0.0,0.0,7.44,28.02
6,6.38,28.76,0.0,1.21,0.0,0.0,0.31,0.0,0.0,-0.0,-0.0,-7.66,126.59,32.89,10000.15,0.0,7.45,0.0,29.0
7,6.71,27.33,4.11,1.18,0.0,0.0,0.0,0.0,0.0,-3.89,-0.0,-7.66,126.25,32.89,10004.67,0.0,7.43,0.0,27.78
8,6.94,26.72,17.07,1.19,0.0,0.0,0.0,0.0,0.0,-9.3,-3.83,-7.66,129.95,32.89,10009.19,0.0,7.47,0.0,31.14
9,6.93,26.91,29.93,1.31,0.0,0.0,0.0,0.0,0.0,-9.3,-10.88,-7.66,138.78,36.33,10013.7,0.0,7.54,0.0,37.23
10,6.87,25.79,38.12,1.38,0.0,0.0,0.0,0.0,0.0,-9.3,-15.14,-7.66,147.62,46.12,10018.22,0.0,0.0,7.57,40.06
11,6.93,24.9,39.78,1.38,0.0,0.0,0.0,0.0,0.0,-9.3,-12.35,-7.66,156.45,59.75,10022.74,0.0,0.0,7.61,43.68
12,6.83,23.99,35.23,1.29,0.0,0.0,0.0,0.0,0.0,-9.3,-3.65,-7.66,165.29,70.86,10027.26,7.64,0.0,0.0,46.73
13,6.68,21.58,27.86,1.36,0.0,0.0,0.0,0.0,0.0,-5.31,-0.0,-7.66,174.12,74.14,10031.78,0.0,7.62,0.0,44.52
14,6.68,19.97,17.7,1.25,0.0,0.0,0.0,0.0,0.0,-0.88,-0.0,-7.66,179.16,74.14,10036.3,0.0,0.0,7.54,37.07
15,7.2,19.32,6.23,1.27,0.0,0.0,7.1,0.0,0.0,-0.0,-0.0,-7.66,180.0,74.14,10040.82,0.0,0.0,7.5,33.46
16,7.78,21.52,0.09,1.25,0.0,0.0,8.4,0.0,0.0,-0.0,-0.0,-7.66,172.11,74.14,10045.34,0.9,6.57,0.0,31.38
17,8.07,26.44,0.0,1.33,0.0,0.0,4.06,0.0,0.0,-0.0,-0.0,-7.66,162.78,74.14,10049.86,5.24,0.0,2.24,32.25
18,8.12,29.17,0.0,1.45,0.0,0.0,1.29,1.67,0.0,-0.0,-0.0,-7.66,158.27,74.14,10054.38,0.0,7.5,0.0,34.03
19,8.04,28.53,0.0,1.82,0.0,0.0,0.0,6.29,0.0,-0.0,-0.0,-7.66,156.84,72.38,10058.9,0.0,7.54,0.0,37.01
20,7.95,27.36,0.0,1.71,0.0,0.0,9.3,1.7,0.0,-0.0,-0.0,-7.66,156.84,65.76,10063.42,0.0,0.0,7.57,40.36
21,7.63,26.99,0.0,1.5,0.0,0.0,2.72,0.0,0.0,-0.0,-0.0,-0.89,146.51,63.98,10067.94,0.0,0.0,7.55,37.94
22,7.15,25.77,0.0,1.47,0.0,0.0,0.0,1.24,0.0,-0.0,-0.0,-0.0,143.49,63.98,10068.47,0.0,7.52,0.0,35.63
23,6.72,25.15,0.0,1.39,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-1.96,143.49,62.67,10068.47,0.0,7.47,0.0,31.3
24,4.24,35.92,0.0,1.31,0.0,0.0,0.0,0.0,0.0,-1.67,-0.0,-7.66,143.49,62.67,10069.62,7.48,0.0,0.0,32.15
25,4.42,34.53,0.0,1.15,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-5.62,145.07,62.67,10074.14,0.0,0.0,7.51,34.47
26,4.63,32.65,0.0,1.1,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-6.48,145.07,62.67,10077.46,0.0,7.48,0.0,31.91
27,4.98,32.3,0.0,1.15,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-6.88,145.07,62.67,10081.28,0.0,0.0,7.48,31.55
28,5.46,31.76,0.0,1.16,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.09,145.07,62.67,10085.34,0.0,7.47,0.0,31.29
29,5.9,30.08,0.0,1.21,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.1,145.07,62.67,10089.52,0.0,7.46,0.0,30.09
30,6.38,28.76,0.0,1.21,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-4.95,145.07,62.67,10093.72,0.0,0.0,7.47,31.4
31,6.71,27.33,4.11,1.18,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-4.16,145.07,62.67,10096.63,0.0,0.0,7.52,35.17
32,6.94,26.72,17.07,1.23,0.0,0.0,0.0,0.0,0.0,-8.48,-0.0,-7.66,145.07,62.67,10099.09,0.0,7.52,0.0,35.83
33,6.93,26.91,29.93,1.33,0.0,0.0,0.0,0.0,0.0,-9.3,-8.71,-7.66,153.12,62.67,10103.61,7.56,0.0,0.0,39.43
34,6.87,25.79,38.12,1.43,0.0,0.0,0.0,0.0,0.0,-9.3,-3.82,-7.66,161.95,70.51,10108.12,7.69,0.0,0.0,51.43
35,6.93,24.9,39.78,1.5,0.0,0.0,0.0,0.0,0.0,-9.3,-0.21,-7.66,170.79,73.95,10112.65,0.0,7.74,0.0,55.94
36,6.83,23.99,35.23,1.58,0.0,0.0,0.0,0.0,0.0,-0.39,-0.0,-7.66,179.62,74.14,10117.16,0.0,7.78,0.0,59.58
37,6.68,21.58,27.86,1.62,0.0,0.0,0.0,0.0,0.08,-0.0,-0.0,-0.0,180.0,74.14,10121.68,0.0,7.77,0.0,57.83
38,6.68,19.97,17.7,1.46,0.0,0.0,0.0,0.0,8.45,-0.0,-0.0,-0.0,180.0,74.14,10121.5,0.0,7.73,0.0,54.27
39,7.2,19.32,6.23,1.43,0.0,0.0,0.0,0.0,16.67,-0.0,-0.0,-0.0,180.0,74.14,10102.73,0.0,0.0,7.69,50.85
40,7.78,21.52,0.09,1.59,0.0,0.0,0.0,0.0,9.23,-0.0,-0.0,-0.0,180.0,74.14,10065.67,7.57,0.0,0.0,40.21
41,8.07,26.44,0.0,1.9,0.0,0.0,0.0,0.0,4.17,-0.0,-0.0,-0.0,180.0,74.14,10045.16,7.58,0.0,0.0,40.58
42,8.12,29.17,0.0,2.24,0.0,0.0,0.0,0.0,6.43,-0.0,-0.0,-0.0,180.0,74.14,10035.91,7.63,0.0,0.0,45.96
43,8.04,28.53,0.0,2.49,0.0,0.0,0.0,0.0,10.23,-0.0,-0.0,-0.0,180.0,74.14,10021.62,7.67,0.0,0.0,49.29
44,7.95,27.36,0.0,2.43,0.0,0.0,0.0,0.0,6.13,-0.0,-0.0,-0.0,180.0,74.14,9998.9,7.61,0.0,0.0,43.87
45,7.63,26.99,0.0,2.12,0.0,0.0,0.0,0.0,6.43,-0.0,-0.0,-0.0,180.0,74.14,9985.28,0.0,7.6,0.0,43.17
46,7.15,25.77,0.0,1.93,0.0,0.0,0.0,0.0,9.44,-0.0,-0.0,-0.0,180.0,74.14,9970.99,0.0,0.0,7.62,44.28
47,6.72,25.15,0.0,1.93,0.0,0.0,0.62,0.0,6.55,-0.0,-0.0,-0.0,180.0,74.14,9950.01,0.0,7.58,0.0,40.97
48,4.24,35.92,0.0,1.9,0.0,0.0,0.0,0.0,0.0,-0.72,-0.0,-0.0,179.31,74.14,9935.46,7.58,0.0,0.0,41.35
49,4.42,34.53,0.0,1.79,0.0,0.0,0.0,0.0,9.37,-0.0,-0.0,-0.0,180.0,74.14,9935.46,0.0,0.0,7.68,50.11
50,4.63,32.65,0.0,1.73,0.0,0.0,0.0,0.0,8.88,-0.0,-0.0,-0.0,180.0,74.14,9914.63,0.0,0.0,7.66,47.9
