hour,offshore,onshore,pv,river,lake,biogas,phs,battery,methanation,Storage phs,Storage battery,Storage methanation,Stored phs,Stored battery,Stored methanation,reserve phs,reserve battery,reserve lake,Electricity demand
0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,60.89
1,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,63.09
2,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,63.47
3,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,61.35
4,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,57.86
5,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,55.45
6,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,54.37
7,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,53.56
8,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,53.49
9,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,53.17
10,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,54.92
11,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,56.61
12,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,57.76
13,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,60.79
14,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,58.33
15,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,56.37
16,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,55.65
17,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,56.72
18,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,61.81
19,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,64.48
20,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,64.69
21,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,63.62
22,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,61.05
23,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,63.06
24,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,65.81
25,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,57.36
26,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,57.94
27,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,56.43
28,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,54.38
29,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,54.44
30,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,56.88
31,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,60.74
32,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,65.08
33,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,67.09
34,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,68.91
35,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,69.78
36,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,70.76
37,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,71.51
38,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,70.38
39,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,68.36
