hour,offshore,onshore,pv,river,lake,biogas,phs,battery,methanation,Storage phs,Storage battery,Storage methanation,Stored phs,Stored battery,Stored methanation,reserve phs,reserve battery,reserve lake,Electricity demand
0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,77.18
1,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,73.64
2,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,68.34
3,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,66.02
4,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,63.55
5,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,61.35
6,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,59.67
7,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,60.21
8,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,62.73
9,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,66.18
10,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,69.09
11,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,71.22
12,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,73.9
13,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,74.86
14,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,74.96
15,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,73.55
16,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,71.49
17,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,73.43
18,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,79.03
19,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,84.11
20,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,85.16
21,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,82.55
22,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,79.08
23,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,77.61
24,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,76.73
25,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,73.05
26,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,68.16
27,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,66.81
28,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,66.17
29,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,66.04
30,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,66.9
31,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,70.37
32,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,74.68
33,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,78.67
34,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,80.75
35,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,81.99
36,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,83.56
37,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,85.55
38,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,86.4
39,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,84.61
40,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,82.13
41,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,84.27
42,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,90.26
43,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,94.54
44,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,92.99
45,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,89.58
46,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,85.85
47,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,84.26
48,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,83.23
49,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,79.83
50,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,74.76
51,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,73.04
52,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,72.05
53,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,72.24
54,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,74.62
55,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,79.8
56,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,83.21
57,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,85.53
58,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,86.4
59,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,86.6
60,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,87.06
61,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,88.8
62,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,89.24
63,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,87.7
64,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,85.39
65,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,87.74
66,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,94.35
67,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,98.0
68,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,95.97
69,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,92.21
70,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,88.16
71,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,86.39
72,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,83.68
73,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,80.16
74,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,75.07
75,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,73.75
76,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,72.84
77,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,72.99
78,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,75.13
79,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,79.9
80,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,83.21
81,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,85.48
82,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,86.36
83,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,86.65
84,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,86.78
85,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,88.57
86,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,88.94
87,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,87.33
88,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,85.28
89,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,87.63
90,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,94.19
91,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,97.75
92,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,95.92
93,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,92.18
94,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,87.79
95,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,85.49
96,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,83.65
97,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,80.2
98,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,75.45
